parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90
0,0,500,54.4,54,1.635140425323255,52,58,52.900000000000006,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,49.60430000000001,49.507,1.4206151780867768,46.264,51.828,48.230199999999996,51.2462,6.919296523335471,7.008070540630522,0.45770252596115363,5.827293025067479,7.8721219502749165,6.453676939664631,7.358950802472443,31.3,28,6.156725035105493,24,44,25.9,40,19.65,19,2.1095023109728985,17,23,17,23,0.530690046428511,0.5342228297689868,0.017995723294066897,0.49895447316244085,0.5652988578219212,0.5091010457009703,0.5497122521364664,1.0973641636141638,0.9198717948717949,0.39189867074566265,0.6666666666666666,2.25,0.7977777777777779,1.5809523809523809
0.005,0,500,52.95,53,2.480980281641661,47,58,50,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.9,3,0.3077935056255462,2,3,2.9,3,48.9157,49.230000000000004,1.527638738638646,44.506,51.332,47.5976,50.333,6.586458353354362,6.768722243221864,0.6048608013232449,5.171263288597858,7.366708898823155,5.67677184008946,7.296574159912167,28.45,27,3.31622804117157,24,36,25.9,34.2,22.4,23,1.9303667499917425,19,25,20,25,0.5420891982074979,0.5466519303662523,0.020507291550085124,0.5056895159769516,0.5848265565122907,0.5175008580492555,0.5603454892614235,0.9999583055833057,0.9354166666666667,0.1982868021485148,0.75,1.5555555555555556,0.7985714285714287,1.205
0.01,0,500,53.25,54,2.510504247944498,47,56,49.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.95,3,0.22360679774997894,2,3,3,3,48.35549999999999,48.71,1.5754745149853808,44.842,50.462,46.236000000000004,50.037400000000005,6.637696855920545,6.742127454864193,0.7064263278923852,4.728397614414415,7.807652400049558,6.012119769333769,7.372734235910002,32.3,31.5,6.182317739454915,24,48,25.9,39.2,22.4,23,1.9029063643750175,18,25,19.900000000000002,24.1,0.5436456472909823,0.5387383476339356,0.018033675627969425,0.5127318985565502,0.5768983727045734,0.5217518478813837,0.5676770320056814,1.1004146547896547,1.0839160839160837,0.27010749297468256,0.5625,1.8571428571428572,0.8329670329670329,1.3399999999999999
0.015,0,500,52.45,53,2.4165002967536595,48,57,49.9,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.6,6,0.5026246899500345,5,6,5,6,47.9002,48.791,2.1339674835977775,43.89,50.616,44.328,49.7374,6.408051093642738,6.477417339469744,0.5285479426186876,5.355548524661115,7.093731317156018,5.7678571790527435,6.986822964150389,31.95,30,6.533114031407107,24,45,25,42.2,23.2,23.5,2.50473236305325,19,28,20.9,27,0.5478139122641565,0.5483428465803222,0.025072720440637467,0.49351507778890513,0.5913052352624882,0.5227178741838431,0.5730040694577201,1.1131114718614719,1.0773809523809523,0.20832626055820203,0.8095238095238095,1.7142857142857142,0.8547619047619047,1.3033333333333335
0.02,0,500,51.7,51,2.02874085917453,49,56,49.9,54.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.7,6,0.47016234598162726,5,6,5,6,47.005399999999995,47.361,2.26826974168696,42.718,50.732,44.2892,49.488600000000005,6.607051684313913,6.529813360307359,0.5659120638446574,5.900040338845148,8.015689365238657,5.950603946442067,7.2537685006256725,28.9,27,5.056522624554505,23,42,24,34.70000000000001,22.05,22,2.114486375359025,19,27,20,25,0.5509661009877275,0.553204975698384,0.025058724581525936,0.5121853770569714,0.6020694978074518,0.517240564962802,0.5770507125310661,1.099215576090576,1.080128205128205,0.17898866394694182,0.7142857142857143,1.4,0.9323076923076924,1.3075
0.025,0,500,52.15,52,2.1588252165910684,48,56,49.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.7,10,0.4701623459816272,9,10,9,10,47.03920000000001,47.18000000000001,1.5634422750355768,43.208,49.43,45.0522,48.9504,6.614311070737207,6.608836721556785,0.29239169749029376,6.275430184457478,7.217823494655409,6.276693747296042,6.978151379433558,30.15,29,4.283075628809893,24,37,25,35.1,21.95,22,1.959457497423847,18,25,19.900000000000002,25,0.5477202306191745,0.5444613749538343,0.014206987393127824,0.5231683819685177,0.5721628962284221,0.5322194950543039,0.5662192228937408,1.125630737726326,1.0741758241758241,0.1874900823168287,0.875,1.6,0.9359477124183007,1.3454545454545455
0.030000000000000002,0,500,49.95,50,2.163695668842645,47,54,47,53.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.05,12,0.998683343734455,10,13,11,13,46.3866,46.835,1.804135494969966,43.264,49.33,43.845600000000005,48.123000000000005,6.488818633472633,6.3642661073770705,0.5456175081099975,5.950092436256768,7.93832324864639,6.0093349519992385,7.205818481218976,29.75,29,4.586880604965702,23,39,23.9,37.1,22.9,23,2.489979919597747,19,27,19.900000000000002,26,0.5584936580963619,0.5570284278146842,0.02215168449385543,0.5229973581349763,0.609085093280529,0.5356269339295627,0.5880268805204447,0.9848605071399188,0.9409722222222222,0.19254866651649893,0.6923076923076923,1.3571428571428572,0.7449999999999999,1.22012987012987
