parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,max_fitness_mean,max_fitness_median,max_fitness_stddev,max_fitness_min,max_fitness_max,max_fitness_p10,max_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90
1,0,500,49.1,49,2.5526044491233284,46,55,46,52.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,46.6133,46.462,1.3561256384894518,43.568,48.644,45.2812,48.513600000000004,6.82962646912442,6.947344257107871,0.44276938542386485,5.963796106508015,7.731438158583454,6.365350246988237,7.283485138716465,0.5674158358903042,0.5676775228875699,0.016660718268924846,0.5304719961229812,0.5926201264140504,0.5488595397877531,0.5859522433697346,0.8303621253376452,0.8215390672998679,0.047695332261189265,0.7465870195818206,0.9448058625427731,0.7966380992773087,0.8970146487852944,0.7518199763512914,0.7602885250123552,0.034521120758966434,0.664283753143404,0.8187939007837793,0.7224533873071803,0.781296188915524,100.4,100,6.6995679357937545,91,113,92.9,109.30000000000001,71.3,69.5,7.145848997476565,61,87,64.8,79.6,0.9589050545289103,0.8896761133603239,0.1883672100477136,0.7142857142857143,1.4166666666666667,0.7761904761904761,1.2516666666666667,12,12,0.6488856845230502,11,13,11,13,813.5243674849845,811.6768326682546,34.64582583724343,733.3937419989661,871.4256780837242,780.3031438601013,857.9274292657698,0.001090641094454446,0.0010859688647246605,0.00003609421145337654,0.001042090226715518,0.0012085171196885838,0.0010567319486589587,0.0011242293625684115,2.3062148756077328,2.311524097750413,0.01815004873388108,2.235890287807285,2.3190378764824855,2.294380259051528,2.3172121858924957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,500,46.75,47,0.6386663736585051,45,47,45.9,47,0,0,0,0,0,0,0,500,500,0,500,500,500,500,38.1417,38.602999999999994,1.9457852183089164,33.882,41.35,35.092,40.062799999999996,5.863332968401748,6.076879178194786,0.7078295227800823,4.076380257041787,6.704289671546108,4.790938291178632,6.491306941783804,0.5568285902215047,0.5589241339235818,0.019870578707059907,0.5116844584364999,0.5948809092309982,0.5369403247624042,0.5756170197770162,0.8150205773317136,0.8162763103934911,0.03463780718263325,0.7472521682934623,0.8853890143474565,0.7627422186929346,0.8499510412200679,0.6378853682582,0.6389752882132458,0.07818691467952522,0.4798500498959717,0.7547826047979977,0.538766201423828,0.73014088811459,72.1,72,5.437685266051316,57,81,66.9,79,45.35,45,5.4990429789382915,30,54,39.900000000000006,52.1,1.0751024313234065,1,0.23786657297258798,0.8125,1.875,0.9352941176470588,1.2750000000000004,10,10,0,10,10,10,10,638.3037178403005,642.0608076178146,38.79981424179309,561.4243181625311,709.6689935689305,578.4875210442232,674.0499063663933,0.0014618424365505987,0.0013831685444275744,0.0003824436998324445,0.0010788717721653689,0.0028464349214834843,0.0011545075783594395,0.0016469567762948726,2.301048944972872,2.306380641185502,0.0200900083971407,2.230760990301216,2.3199816828118998,2.289713419030894,2.3167434551231705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,500,39.35,40,2.6808286228819544,30,42,36.8,41,0,0,0,0,0,0,0,500,500,0,500,500,500,500,30.263500000000004,30.991,2.3530807465958326,22.482,32.746,28.3338,32.0884,4.7599116925094815,4.679878267304833,0.42372890975184513,4.007702084736337,5.8520187969622866,4.272618799310757,5.098778774436837,0.5599176041436449,0.5611047495780153,0.023830664530766283,0.5217033673085325,0.6112803136840708,0.5358615435871363,0.5910212523303147,0.8210294223366766,0.8251866792498519,0.053023523007029304,0.7173368873914442,0.9199140961749237,0.762940486404871,0.8834818505838191,0.5335868139720457,0.5396581172511208,0.03951867678717086,0.4481225769992562,0.635690530599817,0.4970993985563567,0.5602922194061088,48.85,50.5,6.02865962234602,30,56,42.5,54,29.5,30,4.084631014708157,20,36,23.9,34.1,1.2642069042069042,1.2,0.21114972960829076,1,1.75,1.0826923076923076,1.5214285714285718,10,10,0,10,10,10,10,529.227647896856,536.1210137044064,37.59521281199982,434.31521511050465,585.2820345601193,497.4464597219154,564.6622096323621,0.0015337310069909265,0.0014879234254811897,0.0001893298154919004,0.0012449930222596295,0.001993905326994726,0.0013318163946373731,0.0017476224501766513,2.287768143907576,2.289979820516481,0.021750187123511545,2.2396893019850475,2.3128876215181604,2.256191389693157,2.30927342575264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,500,32.7,33,2.079979756986516,29,36,30,36,0,0,0,0,0,0,0,500,500,0,500,500,500,500,26.483700000000006,26.766,1.6417464737926273,23.736,29.754,24.188000000000002,28.2874,3.3847702755109297,3.495634111166098,0.5694869177534125,2.292362100541704,4.576623646313943,2.6385763677296077,3.978404081429169,0.5642043942810006,0.5599115033028893,0.024223649813848988,0.5260493108890831,0.623987017291405,0.5352887872397026,0.5930315966883384,0.7963713319190594,0.7979645475212674,0.050407736539500037,0.7049230270043096,0.8683128448457339,0.7453389887824295,0.8594580226494988,0.5159328692250981,0.5151930908352625,0.06319545290770484,0.3971128602641187,0.6481593371830652,0.4176767293487881,0.578465967904014,37.3,37,3.096687534158157,31,43,33.8,41.1,24.6,25,2.945111918166492,20,31,21,28,1.3084559884559883,1.2111111111111112,0.34605109961831637,1,2.4,1,1.6142857142857148,10,10,0,10,10,10,10,485.4214539508612,480.8382217126307,32.426820533558214,431.62401994646103,548.1859902800641,444.2068187505503,528.3286916054835,0.0013729689552968477,0.0013672072353240917,0.00012487871922313966,0.0011729036784639902,0.0015697089388733018,0.0011920721901972813,0.001555053699765178,2.262959994032916,2.2777290914975237,0.046994561087741075,2.1181278286033813,2.311642317316513,2.2141662566013163,2.30381124362355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,500,28.05,28.5,2.163695668842645,23,31,25,30.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,23.7876,24.316000000000003,1.606617840125811,19.89,26.408,21.9546,25.1138,2.3450977529253065,2.311520693536199,0.46162519454260376,1.58173954872476,3.409724915590703,1.7588931695468224,2.9937149925154753,0.570265675378354,0.5756358310506864,0.02330422785732125,0.5239468286342032,0.617487288305308,0.5368114898453731,0.5918904851013852,0.7831555435999668,0.7828808018437341,0.03769676840306662,0.7195961204014893,0.8651579876636504,0.7395373558084376,0.8304572324320315,0.5605255892284091,0.5636515816397666,0.0508446088984232,0.4675721478595068,0.659340502050118,0.4982450868031345,0.6101661420340303,28.5,29,2.928984016416111,21,32,24.9,31.1,20.45,21,2.605156829302827,15,26,16.9,23.1,1.1623214285714287,1.1547619047619047,0.10216892058708488,1,1.4,1,1.2904761904761908,10,10,0,10,10,10,10,440.5054069463498,441.63335444970926,44.15897699826023,358.4271466560727,546.8865620026463,391.7228406889999,490.3154065512024,0.001268193672487513,0.0012523203294995985,0.00017731267736428085,0.000985251661395884,0.001690552841335067,0.0010751294885929976,0.0014765907925900824,2.245582836559451,2.2466158856345344,0.061978265625625216,2.054258150862612,2.3183692540329317,2.1901320538642373,2.2969765271094293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,500,25.6,25.5,2.087557121815378,21,29,22.9,28.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,22.224600000000002,22.512,1.6058481412112355,18.176,24.67,19.6084,23.6308,1.6495299690477438,1.5741181159083402,0.3418138631867995,1.0816191566350866,2.3863101223437027,1.3547544000525686,2.08757743266888,0.5710055118038735,0.5717817748980292,0.02422379655288007,0.49954095516618374,0.6055754894319552,0.5549310172734664,0.5964894278888239,0.8011541407274796,0.7840620523037293,0.046539384356233275,0.7428064740579298,0.9393054133254801,0.7531040649150396,0.8497713661276877,0.5169818239428124,0.5263338428181421,0.06157338586195936,0.3990698061421559,0.600724435285269,0.4353628605549845,0.5855160753084466,26.9,26.5,4.517801048717116,18,36,22,32.1,21.3,21,3.7430637605829635,17,29,17,26.1,1.1368055555555556,1.1428571428571428,0.10107774405862871,1,1.3333333333333333,1,1.2857142857142858,10,10,0,10,10,10,10,417.8304947822711,421.64903448392636,39.041303337203665,329.6461219982258,468.7410262458701,367.6411359446903,462.37181880574076,0.0013306131547740979,0.0012081062328214646,0.00025335729694349964,0.0011056811412684796,0.0019088002497821702,0.0011177756633674225,0.001683714767485917,2.2401323910771884,2.2582340948595316,0.06503156072738096,2.087210311338979,2.3100390843713403,2.145485380764021,2.2991892619346608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,500,23.65,23.5,1.7252002172135514,20,27,21.900000000000002,26.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,21.502499999999998,21.659,0.9153789839244331,19.482,22.69,20.366799999999998,22.538600000000002,1.2097646917248641,1.1884038195576823,0.304424203090361,0.6685237467734378,1.89540074918208,0.9089744588014153,1.5733110137590018,0.5538577682332462,0.5477352454591633,0.028120065183162683,0.5059958136953739,0.6117465468038531,0.5177370318676582,0.5911989025890818,0.7690878477655129,0.7751553809896821,0.061164515436910205,0.6763279835191829,0.8558483262668781,0.69027708896351,0.8487095552439408,0.5064091925837607,0.5140933177589175,0.0477361432285818,0.3876088091880857,0.5839061554993948,0.465545808167944,0.5562575602909544,24.6,25,3.2183683345512373,19,32,20,28.1,20.95,20,3.2521248114845904,16,28,17.900000000000002,26,1.085952380952381,1,0.13145358630130224,1,1.4,1,1.2904761904761908,10,10,0,10,10,10,10,408.09731632878203,401.5855394417682,37.369118285708126,350.65065756200715,494.52048002684995,371.4764287863284,461.02564469924107,0.0013288536140888944,0.0013248348846065326,0.00016923222669057043,0.0010734550248949256,0.0016064381339332286,0.0011152749271311313,0.0015583764895870076,2.259344903567993,2.267226962994476,0.030121189303029212,2.2008257945180887,2.3066385274669576,2.220037102542959,2.296811939130825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,500,21.55,22,1.2763022245616644,19,24,20,23,0,0,0,0,0,0,0,500,500,0,500,500,500,500,20.1534,20.616,1.1219355643379505,17.67,21.338,18.317999999999998,21.1478,1.0212178302764197,0.9725578304712919,0.2237953555924686,0.6248071702533518,1.4328642643321048,0.7653905757689443,1.294684065053304,0.5684529855017353,0.5722264985462897,0.02750728647059817,0.507790889548643,0.6137142578099458,0.538684762621463,0.5980829107200677,0.800126569690193,0.7915767019702007,0.07280644748518099,0.6589630591619973,0.9169931419143769,0.7087653692110455,0.8941370377563863,0.5204370429377317,0.5277093232262449,0.056338975811572864,0.3944354298807402,0.5939711214291515,0.4378049549344659,0.5804378834887204,19.5,19.5,2.9647046537910864,14,27,16,22.1,17.95,18,2.605156829302827,13,25,15,20,1.065,1,0.13282462030407277,0.8571428571428571,1.4,1,1.2133333333333336,10,10,0,10,10,10,10,405.7589768022898,404.53589577479335,31.81612566795894,345.33264380552,457.0852005019105,363.55148857914907,451.26950425229757,0.001299120578280768,0.0012324790841646922,0.00023363920218073003,0.0010082615147041383,0.0018658548393733977,0.0010582216715799583,0.0015881644402910098,2.2567406146483906,2.2717250250206815,0.04606552502245603,2.1471241003065313,2.313100666415769,2.191775529970164,2.299896391167891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,500,20.7,21,1.9221698265515625,17,23,17.900000000000002,23,0,0,0,0,0,0,0,500,500,0,500,500,500,500,19.729400000000002,19.964,1.133611109405876,16.678,20.908,18.0856,20.8562,0.9590093231338861,0.9223417241420927,0.2840613687258528,0.6218006111286808,1.9612026922273824,0.7322520198098913,1.1489690911077615,0.5890239565938483,0.5908259320557502,0.025376195685088674,0.5387741083903856,0.6611137167505299,0.5662890384361842,0.6091004981760777,0.8100946781201277,0.8054597364091973,0.06100208247340675,0.7185637079988085,0.9323576587152624,0.7423601914489664,0.8863578870799896,0.5150673294620283,0.5154410582603683,0.05353314195247811,0.42181810762562727,0.6121108156901498,0.44096707518777856,0.5898218958262441,18.1,18,2.174009151193639,15,23,15.9,21.1,17.4,17,2.2571523745873385,13,22,14.9,20.1,1.055595238095238,1,0.13119486549339338,0.875,1.4,0.9875,1.2085714285714286,10,10,0,10,10,10,10,402.9689938614024,399.77803952747456,37.3404577987081,313.680364253123,465.1524169788294,363.1266013959138,447.41773230811935,0.0012367194402736936,0.0012209563931453386,0.0001819932920140988,0.0009643414499258615,0.0016298111401377368,0.0010476614676239247,0.0015001351385071653,2.2356519321085466,2.2524377243807843,0.060183380674316944,2.0890038287775923,2.315667876377007,2.158795141450505,2.303701696057348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
