parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90
0.00001,0,500,53.75,54.5,2.4894514297436356,48,57,50.8,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5452335746547937,0.5434035649694122,0.02981533188695645,0.4950264667680023,0.6097100907946101,0.5100212411245477,0.5851176486375044,0.5404167570430519,0.5417276730390809,0.016821038067189868,0.5096537645064242,0.5751649703960632,0.519245550696872,0.5558781531100792,74.6,75.5,6.385839597767944,60,83,64.9,80.2,40.85,40,5.431632496676056,32,49,33.8,47.1,48.42510000000001,48.831,2.237457059864355,44.04,51.558,45.3442,50.8352,6.889923675810714,6.737385756129499,0.7189453836975259,5.280378774292597,8.438548453377527,6.291382543979906,7.64337096095539,24.425141775070795,24.249182550648232,0.976032951306677,22.85301794696113,26.88272017549985,23.13278304129297,25.4661773713481,17.35,17,1.6944180805158295,15,21,15,20
0.00002,0,500,54.4,54,1.2732056517228267,52,57,52.900000000000006,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5544658111873022,0.5578041408767909,0.02935211246648808,0.4745588375352435,0.6039693340812715,0.5229390559288216,0.586750523075612,0.5410396455025286,0.5424357617730836,0.020708874571749136,0.5022829376736531,0.5829241819294375,0.5166391927084484,0.5657290789456481,77.6,76.5,6.580673457777308,67,91,69.89999999999999,85.10000000000001,43.2,42,7.090393797986563,33,59,34.9,51.1,49.192099999999996,49.368,1.6145095360837178,46.082,52.48,47.515800000000006,50.701,6.964912647585949,6.836095464268579,0.47868285457107834,6.0625407215127165,7.887217760401928,6.590786416871532,7.628119097692435,70.46178708750512,70.57299593384349,3.3509435232768667,65.07238455780869,77.55776297077011,66.18605575600583,74.58506290520513,21.2,21.5,1.9628121608924705,18,25,18.9,23.1
0.000030000000000000004,0,500,52.75,53.5,2.572629210094525,46,57,49.8,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5678079366048252,0.5741952629820275,0.03093160317272505,0.5154078646266621,0.6146421937485858,0.5260649950811431,0.6082158856274748,0.5408732958336981,0.5395508345650565,0.01899372845665706,0.5077294436770421,0.5782490708860425,0.5179828754450255,0.5638407961464562,76.65,78,7.576105095697433,63,94,65.8,85,43.9,44,6.972879794717456,33,62,34.9,51,48.48950000000001,49.058,1.867158141753342,44.65,50.862,45.41759999999999,50.7222,6.805303371066309,6.928792782152297,0.623378087311825,4.638480354598898,7.817574815759666,6.357802494705035,7.254697551205275,156.35127763079154,157.70119272181387,11.008848010856225,132.93350194531249,171.84495718061777,142.98823173429554,168.9649501356057,25,25,2.1521103473958814,21,30,22.9,27.200000000000003
0.00004,0,500,53,53,2.224268064117415,49,56,50,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5523680601319662,0.5567039506100309,0.038088367430150934,0.48497323186113317,0.6344150275657949,0.5093023276187558,0.5907568179978762,0.550359166094857,0.5502530261215905,0.019736881712158434,0.5053553968130644,0.5781435857194317,0.5274206359361481,0.5722836634074921,76.2,78,7.647497010546378,55,88,67.4,84.1,43.2,44.5,6.8256482244700045,25,55,36.5,48.400000000000006,48.343799999999995,48.669,1.9653967484829542,44.046,51.42,45.8448,50.4072,6.605817305407577,6.628368577549315,0.6992734030314156,4.969280028334076,7.590597077964275,5.744458392593474,7.50943317084027,266.9677198061587,266.49523228374653,10.652587088670188,245.23234031898699,287.57660451583973,253.33466300425093,280.00303788790785,25.4,25.5,2.3033156878497434,22,29,22,29
0.00005,0,500,52.35,52.5,1.9808291724745768,49,55,50,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5590036019300688,0.5578401431220327,0.045020373644331764,0.49643590670056265,0.6466334124049475,0.5077449251564231,0.624450144519523,0.5486483722734503,0.5477294491989999,0.018430725789150452,0.5232387529884162,0.6002095546458013,0.5308014057145745,0.5648086743604648,77.7,79,6.432646995477138,59,86,71.8,84.1,45.35,46,6.063479980480205,28,54,39,52.1,48.192400000000006,48.923,1.9861088749506897,42.054,50.276,46.239399999999996,49.739799999999995,6.70160357367036,6.768038668591629,0.5206218360552677,5.464818020757871,7.534289349367984,6.062775388125075,7.289201506895413,368.3511681663534,369.37866073925704,14.737376245482785,334.32619460673817,394.41589852243357,350.7492232365227,382.68073321115173,25,25,1.5217718205053643,22,29,24,27
0.00006,0,500,52.15,52,1.6311119875071345,50,56,50.9,54.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5587583986169911,0.5522261352300992,0.028554409755374367,0.5060918768516786,0.6149793470830581,0.5261796519488398,0.6048275363912339,0.5392816188228224,0.5385575295221304,0.01598987274592765,0.5087940902811222,0.5644779975991321,0.5163911966193341,0.5608102022798932,77.45,79.5,8.159431094719391,59,91,65.8,85.20000000000002,45.3,48,7.994076754566142,29,59,34.7,54,47.7784,48.274,2.2309613316142203,40.188,50.572,45.590599999999995,49.62779999999999,6.83154161631761,6.788607218078198,0.424764386108235,6.0588236482010265,7.654670730998161,6.343045075627177,7.348619857863008,458.57450795916594,463.8922874241407,25.461087892661652,399.9781564669459,506.21768815910997,426.3158834630255,481.1214226820201,25,25,2.3841582427170787,21,29,21.900000000000002,29
0.00007000000000000001,0,500,51.35,51.5,1.9808291724745768,47,54,48.900000000000006,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.568830059197352,0.5660067944525113,0.039367324855220744,0.5187553622761668,0.6555535779011447,0.5277062775641578,0.6182485662601671,0.5422888293564933,0.540517288944713,0.018617545017096532,0.48356815431152445,0.5716374024432966,0.5293932644763575,0.5602060565672107,75.85,77,6.318519146962071,59,88,69,81.20000000000002,44.5,45,5.175854874724612,32,54,39.7,50,47.1934,46.919,1.8199343076634746,43.41,50.362,44.724799999999995,49.2124,6.565858589166585,6.575840205232225,0.8332211351561741,5.025302378961852,8.550748271350288,5.820420773706124,7.607623914652943,551.0185032691127,544.058202312523,29.965759650389142,499.3335572226084,618.7134993163107,522.1208215870603,586.4974021893104,25.1,25,2.0235456115702615,23,31,23,27.1
0.00008,0,500,52.95,53,2.523051619306313,47,56,49.8,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5754794289475954,0.5854447333305717,0.044705954040771566,0.49985980191165985,0.641913053549034,0.5138299513730925,0.6310641065029886,0.5396305151162955,0.5453855104287192,0.020998247685625634,0.48981927946389153,0.569639393678391,0.5109136260634468,0.5688499871033874,79.1,79,9.08382020262864,65,99,66.9,88.60000000000001,46.15,46,9.149489488202981,32,66,35.800000000000004,57.2,48.254000000000005,48.658,1.3567527797145507,44.644,50.134,46.6864,49.6546,6.663413452921536,6.7784954177576004,0.5531402747988116,5.103847960117926,7.344016339851091,6.009276496385683,7.191908306146049,646.3144864427923,650.4351238076588,31.444768805788865,573.2791606049279,686.3858735343586,605.3927268798036,684.9235843950366,26.05,25.5,2.438183102661747,22,31,23,29.1
0.00009,0,500,52.55,52.5,2.3725402775129134,48,56,49,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5739940273326452,0.5670821163574067,0.03455041958958891,0.5241344332551117,0.6330576969553826,0.5380534794378656,0.6213086691164363,0.5456674403089073,0.5444483156132933,0.019905156516991155,0.5172985866009097,0.5847177208004595,0.5223201365953845,0.5675242051538251,79.15,79,5.460624602793309,67,88,73.6,86.1,46.6,46,5.734475610403779,34,57,40.6,52.1,48.10719999999999,48.369,1.130968732407847,45.66,49.804,46.1446,49.4658,6.836818511170684,6.901642331814164,0.5375236056641078,5.258487995612435,7.56692037753799,6.3683384085102706,7.4152715875695465,745.7291806843248,760.3905637960938,32.049258193784794,671.5253799676819,785.8652184449592,706.30015916549,779.825567024256,25,25,2.0261449005179113,22,30,23,27.200000000000003
0.0001,0,500,51.4,51,2.8172401575412698,47,56,47.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5679021183377911,0.561925867715944,0.03266528616970246,0.5158198513694244,0.6622504699290264,0.5360515516353781,0.6115669407328308,0.5381115010588781,0.5392269799229485,0.02219670604950485,0.4846261262364674,0.5814064216429067,0.5180338495553976,0.5598007282854484,77.3,77.5,7.987490219086344,60,92,67.9,89.20000000000002,45.9,45,7.1000370643954716,31,62,40.6,58,47.15079999999999,47.864000000000004,2.497696066799413,42.67,51.242,43.59760000000001,50.049,6.348816641863307,6.631308522572301,0.7484898818002385,4.58936335454057,7.417541102009464,5.468440139602578,6.898896377013679,817.7666162096882,819.0231643548689,48.166266636735216,705.0871441413262,904.3426910009525,758.9442046249654,872.4063530847002,25.7,25,2.0287408591745297,22,29,23.9,28.1
