parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
0.1,0,500,53.2,53,1.9712215212183242,50,57,51,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.004559406588487762,0.0008172943251869637,0.014512580391637277,0.000777306485735143,0.05701919415861306,0.0007851167435441755,0.0008420959116193017,0.5455868145588145,0.5613133197691145,0.037478689518179065,0.488633522686968,0.6141392144807348,0.4895686903123016,0.5780439440824547,0.5458088928598177,0.5409651125865461,0.014228753572824788,0.5318915010658682,0.5833934152093372,0.535789273174456,0.5645353132319229,48.940000000000005,49.208,1.606157793351218,45.182,51.12,46.5916,50.292,6.765768247851087,6.839466645872312,0.4830927333005773,5.759242658544611,7.4613660947576905,6.0580260977309095,7.29664047417516,79.46666666666667,81,6.174448114917602,64,91,73,84.2,46.266666666666666,47,5.105552532945544,34,54,40.4,51.6,1.1076760276760276,1,0.3006200209045629,0.625,1.6666666666666667,0.8571428571428571,1.5527777777777776,3,3,0,3,3,3,3,70.12537285210274,70.65830189297957,2.8328017019988865,65.86409183900632,75.90345783655613,66.85916049037807,73.43990431298398,2.31857861816975,2.3195401794781447,0.002666712010079657,2.315032319595088,2.321928094887362,2.3150883163707943,2.320982096826998
0.2,0,500,52.733333333333334,54,2.2509257354845507,48,55,49.400000000000006,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008254646318481059,0.0008178543180391947,0.000033724645661704614,0.0007812912766720228,0.0009259683439838698,0.0007950442626560656,0.0008469797001020359,0.552283258060633,0.5360651791492648,0.04137512076825524,0.48988355878045065,0.6394190645326262,0.5179595940530134,0.6097641604699798,0.5401887473347077,0.5392778345983968,0.01992972719102237,0.5033343397481069,0.5756342659334297,0.5235646099837123,0.5659048823229986,47.30466666666667,48.396,2.4225466726055824,42.92,50.688,44.2196,50.052,6.750939317833341,6.657826672420978,0.6550733276282322,5.304667755854296,8.02092164280388,6.272687902172875,7.525820768488764,76.93333333333334,79,5.885413769489384,64,84,67.60000000000001,82.6,44.2,45,5.115801850289803,36,53,36.8,51.2,1.182222222222222,1.2,0.21388321987952152,0.8333333333333334,1.5555555555555556,0.92,1.5,2.933333333333333,3,0.2581988897471611,2,3,3,3,67.17788668875076,65.33325576023073,4.241945590866131,60.73418693582061,74.52876251185367,62.6080757878418,72.23985481983743,2.3136123177750907,2.3171522640689273,0.009120755320644911,2.287737707059324,2.3209194990354183,2.304738097637837,2.320887549147067
0.30000000000000004,0,500,52.06666666666667,52,2.250925735484551,48,56,49,54.599999999999994,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008158648092707188,0.0008111728429708916,0.000027142522746137195,0.0007743994816717262,0.0008608712279944384,0.0007857503309854429,0.0008527744558209261,0.5647260848226894,0.5560201083923562,0.03889420462010465,0.5007601891033069,0.6307131723336379,0.5236976884987703,0.611867937762054,0.5478287765810103,0.546901870844599,0.012917042268585846,0.5314479074898009,0.5705765410205313,0.5340682884666805,0.5658340593891308,48.2224,47.92,1.972175622431807,44.928,51.334,45.7244,51.0192,6.456135245343659,6.617154675538404,0.4485027000611877,5.557422424109956,7.047864924925838,5.782924306654785,6.828813572349487,75.33333333333333,76,7.556139099780925,64,89,66.80000000000001,86.19999999999999,43.266666666666666,43,7.995236677160315,30,56,34.2,55,1.114409128882813,1.1666666666666667,0.3054759388318403,0.6666666666666666,1.625,0.6962406015037594,1.4928571428571429,2.8666666666666667,3,0.3518657752744983,2,3,2.4000000000000004,3,71.52056831917629,71.5800201358884,3.9617679351236856,65.1127232464199,77.8586873105179,66.66184120083862,76.6855937587856,2.3106832620947357,2.314963825459169,0.010608663439550666,2.2842987586874255,2.3209194990354183,2.2967716591968905,2.3206385967940726
0.4,0,500,53.2,54,2.1111946516469904,50,56,50.4,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.00521705729250561,0.000819675052372748,0.01704920764389306,0.0007766332557015868,0.06684620376777764,0.0007788828842409919,0.0008514777279253437,0.5406178108574964,0.5443430035177782,0.020262646452443196,0.49948102710700676,0.5813965506289904,0.5196157690981527,0.557687357440023,0.539136696492623,0.5352171086120378,0.016906910794205116,0.5172138374187535,0.5867793994773856,0.52196224537787,0.5543509677576426,48.63413333333333,48.736,1.868277199785432,44.766,51.758,46.5208,50.788399999999996,6.662647521608606,6.772739179977329,0.4390418172436604,5.851036147555388,7.263603513408473,5.976321466127706,7.169656900858046,79.6,80,5.151976042535248,68,86,73.2,85,46.4,48,5.742075284374856,33,53,40.2,52.2,1.142045547045547,1.1111111111111112,0.20488001743748155,0.7777777777777778,1.5555555555555556,0.8800000000000001,1.345,3,3,0,3,3,3,3,68.51867262577703,68.3983329074064,4.294613143042587,59.55835236890244,74.33743454493035,62.89948955356162,73.88447493682621,2.317429566218625,2.3195401794781447,0.004859246971631069,2.3044318794867134,2.321928094887362,2.3121482837509424,2.320982096826998
0.5,0,500,53.13333333333333,53,1.8464895909600494,50,56,50.4,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.008071193738656068,0.0008088437576176682,0.028123651862058716,0.0007794909492631678,0.10973210207338648,0.0007805943235675999,0.0008446487132111112,0.5573428365491547,0.560107702262509,0.03927130942630901,0.4704562137185699,0.6243019213524708,0.5292936257593995,0.6057673715925,0.5403417647409129,0.545071327662826,0.018620067855718077,0.5013660780178597,0.57613500433531,0.5137899397739173,0.5535239284859504,48.685199999999995,48.83,2.067342642137485,44.024,51.532,45.958,50.6316,6.783047329050721,6.6903345207844405,0.388299403798942,6.069686977101859,7.355033922423485,6.416157914185682,7.32348938988487,75.93333333333334,75,6.284523696767965,61,85,71,84.2,42.8,42,6.28149208844068,31,54,37.4,50.8,1.0849609649609648,1,0.2443199749536182,0.6923076923076923,1.5555555555555556,0.8636363636363636,1.4444444444444444,2.933333333333333,3,0.2581988897471611,2,3,3,3,70.35020757179181,69.94666035202538,4.3555383469652265,62.68423669715092,80.02555186997047,65.54889681441313,75.5983371932051,2.316814764595266,2.318006076858778,0.003956424835419708,2.3094149182672616,2.321928094887362,2.311049708763968,2.3209194990354183
0.6,0,500,53.06666666666667,53,2.051712409068047,49,57,50.8,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008164767840189933,0.0008178102256955066,0.000020151712159026606,0.000779382469486539,0.0008727845759396772,0.0007994356459011014,0.0008277734862544163,0.5582848619416597,0.5673405020969158,0.03946301124248308,0.4992663950667846,0.6335039714027323,0.5085231383348833,0.5978078030639818,0.5476297465547482,0.5410158388302353,0.02160401805273742,0.5124849231746781,0.5849295669442134,0.5248565032978363,0.5778784810334523,48.964666666666666,49.266,1.7903598467772843,44.806,51.308,47.320800000000006,51.04,6.701068891932299,6.539235429314359,0.5315053812158617,6.045555061365327,7.903492645659893,6.244602038792252,7.438517787010873,78.8,80,6.155137227204142,69,92,71.4,84.8,45.733333333333334,46,5.725465254540663,36,59,37.8,49.599999999999994,1.0520947570947572,1,0.1851675243189081,0.7857142857142857,1.4,0.8375757575757576,1.307070707070707,2.933333333333333,3,0.2581988897471611,2,3,3,3,69.96101808620375,70.73383114077812,3.7876016606602154,64.43350961677743,76.54333247352503,65.45274610321536,74.87151145551452,2.3132476671708746,2.315811234817811,0.00998436686978597,2.2817001689163514,2.3203769580956886,2.3057145494208644,2.320360997062762
0.7,0,500,53.2,54,2.07708587070581,49,56,50,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.008672191259269824,0.0008175507559020777,0.022345497752365738,0.0007698619079570082,0.08174366777924176,0.0007826906910294892,0.023013194756700772,0.5502331712787257,0.5451230927774102,0.036356144928800314,0.48371765219934065,0.618873896654023,0.5186631977644369,0.5976532406896493,0.5416160908181122,0.5377671811522811,0.021901974257637635,0.4974522014653728,0.574026170620129,0.5171460893232209,0.5706865048460903,48.402266666666655,49.1,2.607488103429009,42.708,52.23,45.372,51.3424,6.679805220464066,6.619781265268515,0.4306006809359509,5.887196616387113,7.750122579675758,6.230933729115172,7.022290010833984,77.33333333333333,77,8.077010290825141,62,92,68.2,85.6,44.13333333333333,42,7.717018916160628,32,58,36.4,53.4,1.1962385762385759,1.2222222222222223,0.37716064065105276,0.6666666666666666,2.142857142857143,0.7466666666666667,1.5028571428571427,2.8666666666666667,3,0.35186577527449836,2,3,2.4000000000000004,3,70.93054186361886,72.24032920383075,3.4982771707425493,65.90839668849198,77.85527066412219,66.75531257654077,73.75951112121152,2.3179448745154323,2.318487362970475,0.0038161319819591134,2.3074181142643533,2.321928094887362,2.314308684830946,2.321566388407638
0.7999999999999999,0,500,52.6,52,2.229670058871619,49,57,50,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.004374810876888831,0.0008048119356839385,0.013782207571614196,0.0007632804122069354,0.05419439183807614,0.0007816185921771049,0.0008605731160555904,0.5393951113854427,0.5382863391700294,0.027773522390623934,0.4833420239810344,0.5934581661224817,0.5115209265772964,0.5732301281448913,0.5405280164649829,0.542600323983184,0.02322434525675365,0.48958742444799924,0.5772408303757294,0.5095376138302555,0.5636063487318709,49.30986666666667,49.996,1.7480180559163345,46.24,52.022,46.9808,50.8948,6.74718562780221,6.747326581691452,0.3571805825477788,5.740479074084314,7.281420465815733,6.509551564071023,7.090692821130482,76.4,76,5.151976042535247,63,83,71.8,82.6,43.8,44,5.017113569716014,32,51,39.400000000000006,50.199999999999996,0.9826169037933744,1,0.2563738832882609,0.5,1.4,0.6505494505494506,1.2603174603174603,2.933333333333333,3,0.2581988897471611,2,3,3,3,69.81581357251102,68.80233781166395,4.024283278715924,64.81539459101425,77.28796446209353,65.74275737149792,75.78576954640232,2.3154494387038453,2.3150323195950886,0.004578585109605935,2.30395288360517,2.3209194990354183,2.3105374549403135,2.320360997062762
0.8999999999999999,0,500,52.4,53,3.268901082277389,46,57,48.4,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.012666461470456702,0.0008241881581801627,0.03150018151050543,0.0007760068032413589,0.09982681725543324,0.0007948785110919587,0.048054930733457984,0.553110688810319,0.5579317579493089,0.02981716143858971,0.5021864406767085,0.6058368739961846,0.5093148223675801,0.5812784961826812,0.5474626833535476,0.5492105237605494,0.019790037717686077,0.5105226693349099,0.585263126898932,0.5242398406325776,0.5718427020710242,48.79480000000001,49.182,1.6737837033841279,45.37,51.044,46.172,50.4508,6.636715289527407,6.753450969689496,0.5320325235961592,5.711510833396,7.58918678120388,5.924825079277182,7.245860099958055,76.93333333333334,76,5.161210636865661,69,86,70.80000000000001,84.6,44.53333333333333,44,4.940599539481398,37,55,38,50.199999999999996,1.0357607158922948,0.9285714285714286,0.32978363918839176,0.5789473684210527,1.8333333333333333,0.7403846153846154,1.4928571428571429,2.8666666666666667,3,0.35186577527449836,2,3,2.4000000000000004,3,69.9458769082391,70.14916869912086,2.956345786608312,65.01365382334986,74.27795957375123,66.05142819925773,73.59952516460349,2.3168732643768672,2.317100827280733,0.004105926889101064,2.307470326757281,2.321928094887362,2.3124794001830598,2.321566388407638
