parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,atp_variance_mean,atp_variance_median,atp_variance_stddev,atp_variance_min,atp_variance_max,atp_variance_p10,atp_variance_p90,wealth_concentration_index_mean,wealth_concentration_index_median,wealth_concentration_index_stddev,wealth_concentration_index_min,wealth_concentration_index_max,wealth_concentration_index_p10,wealth_concentration_index_p90,median_mean_atp_divergence_mean,median_mean_atp_divergence_median,median_mean_atp_divergence_stddev,median_mean_atp_divergence_min,median_mean_atp_divergence_max,median_mean_atp_divergence_p10,median_mean_atp_divergence_p90,mean_gini_coefficient_mean,mean_gini_coefficient_median,mean_gini_coefficient_stddev,mean_gini_coefficient_min,mean_gini_coefficient_max,mean_gini_coefficient_p10,mean_gini_coefficient_p90,max_gini_coefficient_mean,max_gini_coefficient_median,max_gini_coefficient_stddev,max_gini_coefficient_min,max_gini_coefficient_max,max_gini_coefficient_p10,max_gini_coefficient_p90,reproductive_inequality_index_mean,reproductive_inequality_index_median,reproductive_inequality_index_stddev,reproductive_inequality_index_min,reproductive_inequality_index_max,reproductive_inequality_index_p10,reproductive_inequality_index_p90,survival_inequality_index_mean,survival_inequality_index_median,survival_inequality_index_stddev,survival_inequality_index_min,survival_inequality_index_max,survival_inequality_index_p10,survival_inequality_index_p90,top_decile_persistence_mean,top_decile_persistence_median,top_decile_persistence_stddev,top_decile_persistence_min,top_decile_persistence_max,top_decile_persistence_p10,top_decile_persistence_p90
30,0,500,29.55,29.5,0.7591546545162482,28,31,29,30.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,30.0329,30.044,0.28098434120071514,29.666,30.738,29.7086,30.2764,20,20,0,20,20,20,20,0.5754395785791848,0.5753625246594106,0.026577205197343797,0.5238866467905411,0.6396634930352577,0.5493893667339161,0.6019187754424337,0.48268935358471765,0.4816042717372605,0.039176490835029415,0.394829970949961,0.5446499769338292,0.4296762961774183,0.5298899236373917,32.4,33,3.844339653103125,24,40,28,36.2,22.85,23.5,3.9239480655396846,14,31,18,27,0.004287625163808931,0.00019897242400089072,0.013111897423263012,0.0001700364986070691,0.05821382994922783,0.00018082649658606348,0.010291788743317477,23.38646730201045,5.144776077622535,42.79075064448495,0.7561958488936711,157.00248710597654,0.7561958488936711,52.44769706813751,0.8318235930735931,0.8333333333333334,0.12029249528522655,0.5714285714285714,1,0.6666666666666666,1,5385.1663983640365,5244.940702643604,1273.847464500716,3354.583277149135,7994.320519531376,4084.768026221385,7082.128211823688,0.34271334353853045,0.3270087831414607,0.03822584668388237,0.2977639717980212,0.45034242752815656,0.3118645096747117,0.39155803337901224,0.31609233329908515,0.32579592846516536,0.07122907833027575,0.17950765586745898,0.4395962808773857,0.23068427652782997,0.4094732777905956,0.51963046358149,0.5213367965278227,0.029891510004461608,0.4658265545078875,0.5787313287102084,0.47279815226218536,0.5485935173768355,0.630439316972052,0.6337639329452446,0.03684947797125655,0.554138787988856,0.710363806623412,0.5900740907944708,0.6638250143203497,0.38100580537720224,0.3771929824561403,0.15225956589777676,0.06666666666666667,0.65,0.20044563279857397,0.5647058823529413,0.5483358066575753,0.5742753623188406,0.08869942042507134,0.2857142857142857,0.6774193548387096,0.4444444444444444,0.6296296296296297,0.14649999999999994,0.109,0.12669877247774905,0,0.542,0.0366,0.24880000000000008
60,0,500,50.3,50,1.866604008973459,47,53,47.9,52.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,47.520900000000005,47.413,1.4306464457131185,44.926,49.86,45.608,49.164,20,20,0,20,20,20,20,0.5727513979209414,0.5745061062642886,0.020172248710507282,0.5374843546665212,0.6042980694354934,0.5459575387952385,0.5975886089023292,0.6077659980611955,0.6043498586839857,0.020520899204612378,0.5787462652170285,0.6530995203409388,0.588131865606634,0.631684124879189,98.75,99,8.711003326102478,81,119,89.60000000000001,108.2,68.45,67,9.247901611204908,51,89,58,81,0.0006961334335309207,0.00030083067394858116,0.0017685558086270956,0.00027240323756317405,0.008209619386507728,0.00028101893929078573,0.0003181301617250241,1.315184715854341,0.7561958488936711,2.341805453068756,0.7561958488936711,11.24264776280517,0.7561958488936711,0.8255283914238615,0.833106962696746,0.8397435897435898,0.10712734125263873,0.625,1,0.7019607843137255,1,2199.7705505571253,2192.5322672533507,260.1591076341465,1749.4782082369231,2633.3473072808447,1844.6271847991927,2545.8918378996286,0.5631554917053677,0.5692491920353107,0.02973924809913566,0.5071227677469282,0.6139706063947624,0.5300559604293769,0.6000428181805187,0.5056705448359631,0.5044596678203574,0.04283852004994992,0.4311587379619524,0.5913695375360957,0.45856319530130507,0.5624798079159093,0.5759306346646692,0.5796117601312981,0.02210720180874944,0.5334413223458968,0.6183465932057435,0.5459972512877757,0.600707268766259,0.7181305510075544,0.7221180081255949,0.021594585623423836,0.6709744145283676,0.7502409298810798,0.6936155421327614,0.7452178387596031,0.8744056201333151,0.873546511627907,0.026270165550084556,0.8113207547169812,0.9320388349514563,0.8468655462184873,0.9004255319148936,0.8114928356722864,0.8101279317697228,0.029912129096175348,0.7450980392156863,0.8539325842696629,0.7758620689655172,0.8518518518518519,0.557,0.626,0.14059347892341764,0.192,0.734,0.39060000000000006,0.6968
90,0,500,51.95,52,1.3562719801759995,50,55,50.9,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,49.1957,49.346000000000004,1.0110666124132677,47.55,51.222,47.9032,50.3926,20,20,0,20,20,20,20,0.5823652742806524,0.5815454215415508,0.01842819612304653,0.5549621831996031,0.6160763210362815,0.5614348609053358,0.6051489644568807,0.6060122606529519,0.6047973589194257,0.026070941697349657,0.5759276360902095,0.6906713364608404,0.5825624763802218,0.6225210673474354,112.35,113.5,9.13221596443342,89,129,101.7,120.1,80.4,82.5,9.23038460737146,57,96,67.9,88,0.0003137787952766848,0.00030758222166814075,0.00001844704176950564,0.00028958126482278037,0.00034828233892143546,0.0002954970763186256,0.00034139861633209433,1.3468922639609788,0.7561958488936711,1.495949064728561,0.7561958488936711,7.013249855871882,0.7561958488936711,2.7020893950525524,0.7877069539937187,0.75,0.13175970175314913,0.5555555555555556,1.1,0.636904761904762,0.9357142857142858,2187.9547222681626,2122.1520025652408,595.1521517347018,1436.2960708889086,4198.04473278779,1669.6130248583902,2596.5052097574344,0.5677322844253935,0.5649666912743689,0.021653645160793766,0.523770105432478,0.608981571693947,0.5445408392094846,0.5944528174954273,0.49673524445537237,0.5020896066010533,0.056484025355444306,0.3926616928960247,0.6413317529912126,0.423341660575264,0.5492668915071239,0.5576009158410484,0.5557806170079278,0.021476861362638298,0.5152768601826467,0.595689953556231,0.536350216509134,0.5920793074165394,0.7168628415615073,0.7125470427457326,0.023151167578890065,0.6812022514287115,0.7637000522998492,0.689170234699437,0.7524099133700131,0.8918095894076965,0.8952000725886944,0.02196900481961536,0.8383838383838383,0.9316239316239316,0.8646981970211655,0.914378078817734,0.8359941977413824,0.842418454305025,0.021492158576335758,0.7719298245614035,0.8645833333333334,0.8085381913959613,0.8522727272727273,0.4285,0.436,0.12625767303415658,0.188,0.692,0.27780000000000005,0.5786
120,0,500,52.2,52,1.7350868323485926,49,56,50.9,54.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,48.74419999999999,48.900999999999996,1.3626297948800101,46.596,50.81,46.9316,50.3784,20,20,0,20,20,20,20,0.5732490377140003,0.5755827256359178,0.016519849924286484,0.5408503132243607,0.6007209472191468,0.5527006936861782,0.5933471948424687,0.6049236554363052,0.6099437425364271,0.02238649312967538,0.5504312826860758,0.6506307730221167,0.5839152803048815,0.626728533822934,110.2,109.5,9.736529155710468,95,124,97.80000000000001,120.4,78,78.5,9.994735456334263,62,93,66.60000000000001,91.1,0.000318031597861577,0.0003161347424457393,0.00002205819985136054,0.0002847734829694,0.0003587571924254343,0.00029375794794089674,0.00034196190787874777,2.1865411813500506,0.7561958488936711,4.072667372583287,0.7561958488936711,15.101405750990754,0.7561958488936711,2.9996433633093598,0.8669588295691237,0.8403361344537814,0.16581077419474566,0.6111111111111112,1.25,0.7212121212121212,1.1053846153846156,1953.080472038731,1983.8113556755447,302.381310482914,1328.8424250610383,2459.8613928617056,1575.9030096530646,2302.8798567353797,0.5696416827792851,0.5775204585797387,0.01946711124860421,0.5298259195813835,0.593998724305433,0.5438651760194615,0.5893173209602091,0.5009741626202763,0.5125036800360878,0.05212014764184231,0.4053552636784637,0.5729775510781784,0.43445447366871914,0.5675214730021028,0.5620616083349582,0.5646773871151499,0.01904223868289454,0.5256665804548527,0.5944667805420615,0.5307149136168332,0.5816709811531298,0.7141433176226661,0.7162161177381767,0.021729329784475178,0.6691899609071892,0.7572280878793378,0.687636506538443,0.7380840281535213,0.8874908855691119,0.8888793620852268,0.03261200527083087,0.8,0.9363636363636364,0.8617614180772916,0.9266106442577031,0.8314553019496008,0.8343881856540085,0.02089473586061741,0.7936507936507936,0.8602150537634409,0.8059701492537312,0.8572981366459627,0.40470000000000006,0.443,0.12957789772545072,0.132,0.582,0.205,0.555
150,0,500,51.3,52,1.260743306232687,49,53,49.9,53,0,0,0,0,0,0,0,500,500,0,500,500,500,500,48.6215,48.962,1.1843555431674975,45.966,49.944,46.9598,49.8528,20,20,0,20,20,20,20,0.5811804372985373,0.5825156872838233,0.021720115054737237,0.5439111616962801,0.6323882709194771,0.5534397008401033,0.6000399232153215,0.6063923166124906,0.6097983260180655,0.020029166468610544,0.5708464330452235,0.6475890144283136,0.5809334450148932,0.625605285271954,112.7,114,8.90948636950644,95,125,101,124,81.4,84.5,8.720212455161738,65,94,68.9,91.1,0.000656752955391954,0.000308184195874279,0.0015441478330257376,0.0002827025677683779,0.007216350257426674,0.00029048957769623,0.0003474412355108003,2.3223429064179766,0.7561958488936711,3.3028912515506543,0.7561958488936711,10.815139921302226,0.7561958488936711,8.937633650768989,0.7975504339571676,0.7836257309941521,0.09507506278353137,0.6153846153846154,1,0.7052941176470588,0.93375,2127.4923439438044,2195.4664653430586,348.0972188648278,1479.3570472642496,2972.822326562732,1637.7499719025411,2368.0788424977145,0.5728849534821218,0.5726842763235441,0.011382227420565025,0.5497458420161898,0.5917152134499674,0.5554516569108857,0.5868972496705709,0.5105825156076986,0.517831655721021,0.04274392563880826,0.4417238456457066,0.588739685435705,0.44768697230449084,0.5595366708320597,0.5600583892937977,0.5553737798028505,0.016194307543790913,0.5323310852874137,0.5957490254677725,0.544759654352924,0.5765832485897608,0.7178806096851467,0.7187794194739086,0.019709994898421273,0.6833245444563321,0.7596663085499417,0.693750380198665,0.746576934236444,0.8926721870117678,0.8903322797008713,0.0245733246831567,0.8421052631578947,0.9405940594059405,0.8646774193548388,0.9153805073431242,0.8403148845597682,0.8461484593837535,0.01830270540413783,0.8088235294117647,0.8723404255319149,0.8150055741360089,0.8591897233201582,0.41479999999999995,0.44,0.11068285656253232,0.192,0.586,0.26520000000000005,0.5424000000000001
180,0,500,51.6,52,2.010498759800138,47,56,49.9,53.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,48.555600000000005,48.403,1.757435883385373,45.522,51.212,45.9196,50.995799999999996,20,20,0,20,20,20,20,0.5830397977348901,0.5849397613250042,0.023154406116301637,0.5390596803068811,0.6256713317196302,0.5535321784095352,0.6158435294417345,0.6066762947512989,0.6078636584860662,0.019941198453022845,0.5671228950348958,0.6452039799627797,0.5788249761879504,0.627846503247036,112.2,111.5,7.309690755932731,101,126,101.9,121.4,80.6,79.5,8.229599977488194,68,96,69,89.50000000000001,0.00067987823272927,0.00030151823349537274,0.0016523486292416446,0.0002939570724970168,0.007699520311674565,0.00029660843529090284,0.0003439569014074299,2.7140256306738806,0.7561958488936711,3.4640323805710853,0.7561958488936711,11.750167947455155,0.7561958488936711,7.65770165398183,0.8186601302333567,0.7712418300653594,0.1928126225301905,0.5238095238095238,1.4545454545454546,0.695294117647059,1,2148.774690954223,2036.1865791500131,390.0353487110563,1484.5616336939706,3101.328238887319,1792.3302144618458,2623.503062493134,0.5665298794969218,0.5718911531538657,0.020529315485109473,0.5202284060197954,0.6054691046228358,0.5408703758448277,0.5871080948630167,0.4965765857785476,0.49949751409145504,0.040508517826757524,0.40078994293214154,0.5731100648624254,0.4391174094535216,0.5326364656111239,0.5597286702372817,0.5610849464033314,0.024602784419991995,0.5230576160097284,0.6042826024678568,0.5291467287922229,0.5984195610717555,0.7155792717891324,0.7111750709323699,0.02555946030705855,0.6708657792942955,0.7861364447923564,0.6942970231583501,0.7465982512194553,0.8947051911911308,0.8953684210526316,0.014817522969123482,0.8660714285714286,0.9304347826086956,0.8766023970818134,0.9094516594516595,0.8407774543658058,0.846606334841629,0.018309620542664214,0.8088235294117647,0.8651685393258427,0.8115942028985508,0.8637310606060605,0.4170000000000001,0.44,0.1301666947458244,0.2,0.622,0.2536,0.5582000000000001
