parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
0.1,0,500,54,55,2.5955427380922007,48,57,50.8,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0007989862650197721,0.0007951154328888915,0.000022037803541461186,0.0007489231569936739,0.0008481525465149847,0.0007828352320221382,0.0008263570926378629,0.5418556471707311,0.539635094001308,0.03693314051594796,0.4735096205645165,0.6189531441734594,0.4919837405731612,0.5821943670315615,0.5455767328201923,0.5489484440331973,0.015933134181380502,0.5146677974668821,0.5702267208011952,0.5225925435008313,0.5618356875645789,49.0938,49.919,2.5588757317475013,39.904,51.948,46.9812,50.702,6.846998722097513,6.8068969230458585,0.4792069101458635,5.791813187595044,7.676212347245217,6.28250567991956,7.403934140575445,77.75,77.5,7.4964904069206035,60,90,69.7,88.2,43.75,43.5,6.965138756316119,32,59,35,52.2,1.1716455766455764,1.101010101010101,0.27203660482859665,0.8571428571428571,1.7777777777777777,0.8732142857142857,1.5125000000000002,70.6527003450613,70.90693317820353,2.860336494511848,65.2062079295497,77.22762517267756,66.84973028883888,73.51526229074774,2.314785798818548,2.3174818199112757,0.007594503019581981,2.294090178171213,2.3210238286880513,2.3041493639446347,2.3210238286880513
0.2,0,500,53.2,53,1.8524521444205841,49,56,50.9,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008257123016346963,0.0008237367297700446,0.00003341862372429669,0.0007727506633657734,0.0008833322345359825,0.0007859884429809426,0.0008744038832677882,0.5630564935718047,0.5623834260373566,0.03740460524187629,0.4961359178356452,0.6478687020584757,0.5138324773963356,0.6079446988442694,0.5392663753169727,0.5432012791230787,0.02013157438474852,0.5010611528530671,0.5716160668186683,0.5037808854795275,0.5585112496265042,48.7386,48.316,1.5023071519990072,45.454,50.786,47.4514,50.699600000000004,6.778539559600371,6.78144996358996,0.4294317407100898,5.529511732513098,7.5461171472486575,6.431198554033612,7.230742832630598,77.45,78.5,4.122786487444218,68,84,72,82.1,44.25,46,5.118336489627526,33,51,37.9,49.2,1.10228687978688,1.0416666666666665,0.2864662815647587,0.7333333333333333,1.625,0.7692307692307693,1.5055555555555555,68.48741704142103,69.1938024263537,4.070374929705642,61.703928298343136,73.89830550873002,62.565967580408724,73.51549800446165,2.315768488725542,2.318487362970475,0.006718945223408358,2.2931275444972963,2.3208396243145395,2.3096852559062127,2.3204093307619766
0.30000000000000004,0,500,53.8,54.5,2.261811104775156,50,56,50,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008209313275472014,0.0008186400220407108,0.000029047606748931708,0.0007860337370743399,0.000880806449749855,0.0007883702019698999,0.0008579721375046984,0.5390521356605884,0.5398179007331607,0.02493822699523063,0.49017667881866,0.5863725775719881,0.5116288250113191,0.5663653949897062,0.5408945464531927,0.543982267650237,0.01699271058578125,0.5079507940311238,0.565265023022105,0.5181946281419261,0.5613033179648159,49.35380000000001,49.617000000000004,1.6905620242672956,44.72,51.454,47.2406,51.001599999999996,6.838426004542339,6.894600983730229,0.5944084900568793,5.657951572786729,7.880713419481777,6.135211426744429,7.441724042622913,77.4,77.5,5.335087430842802,66,88,70.9,82.4,43.6,44,5.861560776520372,32,57,35.9,48.400000000000006,1.0582391913641913,1.0884615384615386,0.2451533227503962,0.5625,1.5,0.8083333333333333,1.380357142857143,69.80881454790128,69.07807879633224,2.829078227673755,65.33860061392163,75.0520944830574,66.22963382075146,73.15082757054383,2.3162901045596813,2.318487362970475,0.0051413876773639625,2.3017308223119093,2.3210238286880513,2.3110170571840034,2.3210238286880513
0.4,0,500,53.05,53,1.7614288458371994,50,56,50.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0072596675642422155,0.0008314927276491472,0.024590742705220114,0.000774660822220254,0.11010783521496377,0.0007988878877776455,0.0028044405538142224,0.5453821037991902,0.5386350674481903,0.028845641575567443,0.49382344884377194,0.6109439029553294,0.5129835715578585,0.5823274079969076,0.5384791345352261,0.5392163688650269,0.026678885978811573,0.5014494874847171,0.5913090861144449,0.505953433197839,0.5741952659975994,48.89220000000001,48.979,1.5137815875273555,45.232,51.5,47.132799999999996,50.4756,6.921236050925893,6.898654852047276,0.4942966585954892,5.988606181742125,7.845402220409118,6.413415571503439,7.476307313680961,79.8,79,4.697143588899198,71,86,73.8,86,46.75,46.5,5.077038092182654,38,56,39.900000000000006,54,1.1028129509379512,1.0954545454545455,0.2649801489472039,0.625,1.6666666666666667,0.83125,1.4100000000000001,68.6661475378958,67.85029490332897,3.4816708354049966,63.94521368871329,76.99187630083578,65.06353051174254,72.58264924075729,2.317557592971575,2.3192890279803153,0.005522738540274716,2.2963489685485134,2.321928094887362,2.3148811827483264,2.3209194990354183
0.5,0,500,53.5,53,2.481510575605533,49,57,50,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0022159175043972687,0.0008231310363083266,0.006248347516894634,0.0007696169008715366,0.028761987620419746,0.000791802384946815,0.0008614622811875209,0.5407838836148489,0.5407744448095035,0.03780035996724963,0.47043839043372,0.6294252514533348,0.5041849380463674,0.5752319847533508,0.5400481149282361,0.5421677786394066,0.017188669888471536,0.5020112343173905,0.5760610090534921,0.5209114947517245,0.5602215113199379,48.72760000000001,48.931,1.8518226128529922,45.178,51.352,45.5324,50.6618,6.687397558719812,6.823617865604314,0.546883506914478,5.334258711386234,7.385465455880217,5.9821945403129435,7.249126677782918,77.25,77.5,5.5143353848711545,69,90,70.8,81.80000000000001,43.75,44.5,6.0513156464219895,36,59,37.8,50.400000000000006,1.1511811391223155,1.0833333333333335,0.2715883322347829,0.75,1.625,0.8726890756302521,1.5071428571428571,70.60504307684808,70.96217799080989,2.970236642409869,64.79467081214474,74.69873890451392,65.69538114740487,73.78101485085064,2.3164223817926897,2.3179525047649037,0.00572571833136415,2.300851630249011,2.321928094887362,2.3097762267803157,2.3210238286880513
0.6,0,500,54.05,54.5,2.0384462607326044,50,57,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.006342184072379782,0.0008156451300312172,0.01701628355627683,0.0007620218584110854,0.05617633631546268,0.0007883886525622192,0.006375834811348987,0.5436577737974705,0.5386764569768498,0.0428722244628248,0.47480486382153103,0.6189341102630218,0.49390700464467624,0.5960609217945865,0.544370967886161,0.547378094262813,0.018623307371485247,0.5130447524049417,0.5820980038938756,0.5230150117254583,0.5681652174542153,49.0281,48.817,1.7988754937752818,45.768,52.218,47.243,51.384,6.976377548262273,7.034841699770593,0.32397417717459487,6.388065121772001,7.633037665307308,6.52108263670197,7.2884917055769005,77.7,77.5,5.171785805797899,70,86,70.9,84.2,43.65,45,5.7972316442283125,35,53,35,50.1,1.099675740925741,1.087121212121212,0.2950273213816205,0.7,1.75,0.8062499999999999,1.4714285714285718,70.71960986969684,69.55176988255258,4.105846559428801,63.39654302168324,79.35461176049208,67.23622860277675,77.16681458080645,2.3141770721770056,2.3168407296727427,0.007042463197467203,2.299113475399016,2.321928094887362,2.3050557353738625,2.3211142553079824
0.7,0,500,53.25,53.5,1.7434086394791457,50,56,51,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008229855382418155,0.0008151775500584565,0.00003593163139442891,0.0007738144859988657,0.0009131225561817221,0.0007821487727392139,0.0008687579114289689,0.5463363292956039,0.5394553048991314,0.03707616584316922,0.4882946529811985,0.6177543980782962,0.5076495218869715,0.6083726483622145,0.5389695738215172,0.5387904623224427,0.018650381960148732,0.5017646524986223,0.566867244050574,0.5185890770884223,0.5643185072023933,49.086,48.828,1.2533434863343909,47.062,51.612,47.514399999999995,50.73160000000001,6.750540161782925,6.701134518857446,0.48934448543650627,6.120262739458161,7.89655013281117,6.245885200325349,7.283191970168446,75.95,77.5,4.740364187652563,68,83,68.9,80.30000000000001,42.7,44,5.100051599326174,32,49,34.9,48.1,1.071124986124986,1.0555555555555556,0.2309499247154302,0.6,1.5454545454545454,0.8096969696969698,1.3375,70.75202601600893,69.42795241494927,3.690705973136689,65.18827371658277,77.07471842069558,67.28009276923514,75.54400133548576,2.316536482401796,2.3172140639737933,0.003445818457221924,2.3111501335021876,2.3208396243145395,2.3116812351944827,2.3204232247175733
0.7999999999999999,0,500,53.55,54,2.2589005243585576,49,58,50,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008139594490624176,0.0008099303077652419,0.00003375867202125184,0.0007656733204962365,0.0009135546705083285,0.0007830875520776473,0.0008466023622967417,0.5457283271761544,0.5356202062585039,0.04341185932410979,0.48458662080137715,0.6187378131574435,0.4918672761182471,0.6027691812729179,0.5432253689683539,0.5467435660949982,0.021385589809664672,0.5019661492602686,0.5740213743243189,0.5138994893225618,0.5666950460540935,48.7567,49.083,1.9980344315035428,44.778,51.698,45.973200000000006,50.900999999999996,6.827030643097918,6.791039883068794,0.4057782622411223,5.915932386361423,7.595401503541488,6.4720718856364865,7.25054009866573,77.2,77,6.005260851514848,66,87,69.89999999999999,85.20000000000002,43.65,42.5,5.751658799630626,34,57,35.9,51.1,1.1423971861471862,1.0954545454545455,0.3231722210241358,0.75,1.8571428571428572,0.8163636363636364,1.5892857142857144,70.32239615731638,69.95996589063253,3.338593876287053,62.4143235950678,76.5612358990533,67.24141605820452,73.9531018475449,2.315219506308858,2.317898932671029,0.007526440757040754,2.293789686952647,2.3210238286880513,2.308470269797225,2.3204312121896615
0.8999999999999999,0,500,53.2,53,2.284962282309918,48,57,51,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0009934828012726166,0.000821140602452608,0.0007662991511064098,0.0007864601086288759,0.004247711139337472,0.0007932251660880238,0.0008577809891500557,0.5463457801584624,0.545839395370495,0.0409330159860151,0.4583697277996513,0.6401066920751658,0.4970218940333164,0.5985110770821855,0.5393962246046958,0.5458064144265742,0.022131488633504143,0.4802955880024546,0.5701471059590169,0.514986928390147,0.5594304469904864,48.473399999999984,48.506,1.407033624705761,45.568,51.204,46.4706,49.8142,6.794612154333976,6.826015905391463,0.5172616890155451,6.108467565601049,7.933700019536908,6.170996856996279,7.350987884901169,76.3,76,5.939165278936621,67,92,69.89999999999999,82.2,43.1,41.5,6.315394724505808,35,61,36.9,50,1.1751769064269064,1.15,0.29047511783110413,0.8,1.8333333333333333,0.856043956043956,1.5214285714285718,69.85378015563114,69.87954255284461,2.94565925526207,64.8458309386232,75.3859933830651,66.43800148606492,72.84173704469268,2.317088583754064,2.318246719914627,0.00375361426200179,2.3079316468984663,2.3209194990354183,2.311825701007658,2.3204312121896615
