parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,atp_variance_mean,atp_variance_median,atp_variance_stddev,atp_variance_min,atp_variance_max,atp_variance_p10,atp_variance_p90,wealth_concentration_index_mean,wealth_concentration_index_median,wealth_concentration_index_stddev,wealth_concentration_index_min,wealth_concentration_index_max,wealth_concentration_index_p10,wealth_concentration_index_p90,median_mean_atp_divergence_mean,median_mean_atp_divergence_median,median_mean_atp_divergence_stddev,median_mean_atp_divergence_min,median_mean_atp_divergence_max,median_mean_atp_divergence_p10,median_mean_atp_divergence_p90,mean_gini_coefficient_mean,mean_gini_coefficient_median,mean_gini_coefficient_stddev,mean_gini_coefficient_min,mean_gini_coefficient_max,mean_gini_coefficient_p10,mean_gini_coefficient_p90,max_gini_coefficient_mean,max_gini_coefficient_median,max_gini_coefficient_stddev,max_gini_coefficient_min,max_gini_coefficient_max,max_gini_coefficient_p10,max_gini_coefficient_p90,reproductive_inequality_index_mean,reproductive_inequality_index_median,reproductive_inequality_index_stddev,reproductive_inequality_index_min,reproductive_inequality_index_max,reproductive_inequality_index_p10,reproductive_inequality_index_p90,survival_inequality_index_mean,survival_inequality_index_median,survival_inequality_index_stddev,survival_inequality_index_min,survival_inequality_index_max,survival_inequality_index_p10,survival_inequality_index_p90,top_decile_persistence_mean,top_decile_persistence_median,top_decile_persistence_stddev,top_decile_persistence_min,top_decile_persistence_max,top_decile_persistence_p10,top_decile_persistence_p90
30,0,500,29.55,30,0.6863327411532597,28,31,29,30,0,0,0,0,0,0,0,500,500,0,500,500,500,500,30.087400000000002,30.055999999999997,0.24271369314916116,29.66,30.474,29.7206,30.3844,20,20,0,20,20,20,20,0.566541873375758,0.5667790230633907,0.020099248890817586,0.5178206912618689,0.5950564682857222,0.537493242210492,0.5898148258960003,0.5878542291462713,0.5932042715054092,0.03468069399466109,0.4979357588244487,0.6329223406266901,0.5446531772578743,0.6230399085533656,30.15,29.5,3.2488864489074922,25,36,25,34.2,20.6,20.5,3.2670604846752256,15,26,15.9,24.200000000000003,0.5075317511440907,0.512947374565963,0.029471602230274778,0.449121517440812,0.5411372167451755,0.46500437564043534,0.5383689104389151,1650.7547965159326,1698.7842044224144,158.17396045627618,1314.2260407121871,1917.6456690883153,1448.8428100500128,1813.31559088542,0.8396031746031746,0.8166666666666667,0.13069781083612822,0.6666666666666666,1,0.7095238095238096,1,5206.857559491712,5301.430869905394,932.6437495927709,3471.1592361847847,7011.772837921886,4078.4847436176433,6344.716277886253,0.4576451371962394,0.4496905301706564,0.05000357735897154,0.3551951419021901,0.551828329481469,0.4147952612882851,0.5176782234762266,0.5191767563462311,0.5366757913358702,0.08923739206148372,0.2456741215481848,0.6190087444272826,0.4298549785173312,0.6108844040042732,0.5523046926279711,0.5538448939355431,0.027512434338103835,0.4885000202595572,0.6110859513165071,0.5200930675212193,0.5815262443247671,0.6515016198177663,0.6529166149694667,0.028953239345971202,0.6022321715287351,0.7207733433316806,0.6151502698079842,0.6814117219029867,0.4132220884426848,0.4083333333333333,0.1294824690768638,0.20689655172413793,0.6896551724137931,0.249,0.5662745098039217,0.5020699409286365,0.5119047619047619,0.08418115304751515,0.3333333333333333,0.6153846153846154,0.3708333333333333,0.5865384615384617,0.365,0.348,0.16487634920241226,0.12,0.74,0.2172,0.612
60,0,500,51.55,52,1.932410548076104,47,54,49,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,49.6652,50.129,1.631093582135682,44.632,51.81,47.9812,50.9872,20,20,0,20,20,20,20,0.5697322122997507,0.5670857903661403,0.023834859392672346,0.5281175111424021,0.6071430578867528,0.5408278328234284,0.5997386995917523,0.6783329559300209,0.6761656800041925,0.022543676169844887,0.6288353919419772,0.7222980765486186,0.6572782359583951,0.7046292910784338,89.6,88,5.315320458725643,83,100,84,98,58.05,57,6.345118305893869,50,73,51,67.1,0.37494352450251417,0.3778528424374104,0.037926291584919815,0.3149164170488974,0.4452685301986141,0.32791588804980454,0.41812181703210605,719.2066540850577,726.9165351150477,118.80796901465324,537.0056187509297,960.6440908913521,565.8316494580132,849.8721044946808,0.9300947135080264,0.9230769230769231,0.18252405887785805,0.5882352941176471,1.3333333333333333,0.7416666666666666,1.1,2157.1192833358464,2100.081080758461,272.4994010476436,1635.4185108796507,2703.860718558262,1886.3027785287275,2531.5303170652946,0.6460530954946374,0.6500666459530597,0.02909510581913847,0.5753307489401164,0.686661241072071,0.6108999380629774,0.6797215890733583,0.5908072885044576,0.5908573176454772,0.04399226456114956,0.4707253131151452,0.6584853322361757,0.551809040923446,0.6466294316957083,0.5606656363433922,0.5637321482881803,0.01746985757981442,0.5104505015221369,0.5909292417647547,0.5447859661229563,0.5780903614751859,0.6931159010365149,0.6909004208687755,0.01833823458075401,0.6632699145597664,0.7294657670026811,0.6714874031728695,0.7135928413417797,0.8729061122937203,0.875,0.01952767778290213,0.8192771084337349,0.9,0.8545238095238096,0.8939104915627293,0.7850751416188181,0.7857142857142857,0.0234223975903188,0.7450980392156863,0.8356164383561644,0.7588050314465409,0.8127884615384615,0.6249,0.653,0.12359607386031406,0.384,0.786,0.4632,0.7678
90,0,500,53.75,53.5,1.7129537431920892,51,57,52,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,52.2159,52.679,1.2808202100709978,48.154,53.722,50.3288,53.004400000000004,20,20,0,20,20,20,20,0.5710784083984217,0.5713710409440138,0.014238592907140591,0.5481908991403481,0.5922386340351635,0.5490524159119078,0.5884840558048193,0.6834516826693819,0.6827856570500637,0.02349691979508871,0.6412412584577959,0.7207150423663732,0.6555388617767088,0.7132517362103564,98.3,100.5,7.160564517587025,85,111,87.9,105.30000000000001,64.55,67,6.6449426752903396,53,79,54.9,69.30000000000001,0.34254873325225693,0.3430957599741967,0.027778398515256122,0.2973988394429909,0.4021983941718755,0.3061410798266448,0.36946152006870114,604.416503119972,589.8455425055333,76.08438598763897,495.96555887224577,775.7714256939933,521.5854916143678,701.9723642627276,0.9421859961933491,0.861904761904762,0.20852561870616426,0.6875,1.4166666666666667,0.763235294117647,1.2200000000000002,1970.7217923622168,2000.5646130969453,237.41149258185595,1584.9780437912436,2395.651512573623,1627.8823284529872,2251.3310753639807,0.6593851015908483,0.6569479498315571,0.02520662715765861,0.6109784315668648,0.7112612868987463,0.6315477758626031,0.6862288143545332,0.5919058703546082,0.60214626697913,0.041254916370958905,0.5141725643305366,0.6541468656897033,0.5424101729732419,0.6428812061630421,0.5447335896732899,0.5461763974506597,0.011134850160696961,0.5170029684636879,0.5692651211487361,0.5337115266718961,0.5553701934880274,0.694187817094684,0.698999476453704,0.020620325359564293,0.6554591229451471,0.7244844637694936,0.665335044035122,0.7165592593421866,0.9030775712963015,0.9010445000544011,0.017798116027155097,0.87,0.9423076923076923,0.8796288659793815,0.9215056640799215,0.7973919334213442,0.8059701492537313,0.020825111358324763,0.7547169811320755,0.8354430379746836,0.7631986531986532,0.8123792270531401,0.5312,0.554,0.07902937495174284,0.262,0.608,0.471,0.602
120,0,500,53.35,53.5,1.899445902583726,49,56,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,52.125,52.221000000000004,1.1717866700043997,49.948,54.506,50.6432,53.3516,20,20,0,20,20,20,20,0.5609810520101801,0.5583348034855327,0.014171746232095517,0.5319567547096961,0.5881987467364185,0.5462158803985316,0.5784618340233397,0.692719125699789,0.69542246081133,0.027512296907983597,0.6466628414092604,0.7472662464502642,0.6579853453598534,0.7226637492237763,98.45,100,5.9953929681135385,87,109,90.69999999999999,105.20000000000002,65.1,65,6.265192062414957,53,76,57.7,72.30000000000001,0.34174953050991375,0.3365516675017648,0.03788180992109599,0.28780040437774873,0.3975582851110226,0.29980530490114216,0.3865110483349056,584.7808957458684,588.6239247845319,87.79267167990638,440.005849700918,717.5679106959816,470.9367910868488,677.5870869713369,0.9142010904472204,0.8920454545454546,0.2192020292841407,0.5454545454545454,1.5,0.6802884615384616,1.177005347593583,1965.6459606285698,1956.2448298013273,356.0405679591166,1384.9061112763636,2987.9264983181065,1573.3521428425267,2246.745459596535,0.666160816409089,0.6630870422263531,0.02355137221602023,0.6314558214080555,0.7166330349983815,0.633118463759466,0.691570768137022,0.6177660593909087,0.6190719092003908,0.05289520079526555,0.5157016745180452,0.7106782208007778,0.5521233975873018,0.6724625435199418,0.5468731349201921,0.5486494923540053,0.01922702530066202,0.5047610997384859,0.581103746512124,0.5228374327606707,0.5706770135689803,0.6998906320055862,0.6999060463208073,0.024147121950250955,0.6580055348870153,0.7493862182878233,0.6675292601812464,0.7256044992603252,0.8955068196654992,0.8926803731201218,0.016775188910351714,0.8673469387755102,0.9425287356321839,0.8800258286698235,0.9094311926605505,0.8021710964833872,0.8087821760761411,0.022718228601646944,0.7547169811320755,0.8421052631578947,0.7746394984326019,0.823843137254902,0.5265000000000001,0.536,0.12420335617128275,0.236,0.75,0.39840000000000003,0.6924000000000001
150,0,500,53.75,54,1.7434086394791457,50,57,51.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,52.35910000000001,52.611999999999995,1.6128394673272424,45.98,53.942,51.7878,53.36000000000001,20,20,0,20,20,20,20,0.5704526666578292,0.5712871859316722,0.014769292261226315,0.5394830797422612,0.5930002475785113,0.5520718469850914,0.5876133969845865,0.6895086248086671,0.6851087387411484,0.025258316691239683,0.6509848594373079,0.7375569901143239,0.6589440550829275,0.7172309673767032,95.9,95,5.42799759531421,80,106,91.8,102,62.15,62,5.80630328993731,45,72,57,68.1,0.36638030670543953,0.3619177694822826,0.030613607531323035,0.31412270925416186,0.42180612364097747,0.32592653823921586,0.40066495177538897,659.134605033257,661.7534806559297,83.24753499754374,488.216645315692,813.319668482279,568.1878524853521,745.3069407777839,0.9319280171582804,0.9230769230769231,0.2101225914247123,0.625,1.5,0.6984210526315788,1.1425000000000003,2083.782284480639,2051.4468089360316,393.6266899415908,1505.4954064555354,2927.0944739160077,1602.3281626280786,2646.943471811732,0.6648386070427866,0.6645735649382969,0.026524312576342756,0.6027513448247801,0.7187350156606541,0.6370458734548596,0.6918989345689698,0.6144219372078094,0.6092605029646525,0.035625287186515496,0.5617447902615244,0.6708473294353663,0.5691508876153204,0.666359801313608,0.5465222476894446,0.5404198074206039,0.013915203736388328,0.5332679056313441,0.5830548872756787,0.5343392338463647,0.5662722805458057,0.6963503711217276,0.6982255741693857,0.024037013892624835,0.6534055413400894,0.7420128719853109,0.6696451391796678,0.7314224232774857,0.8935565955327147,0.8947368421052632,0.02037443583725222,0.85,0.9215686274509803,0.8594567062818336,0.9162105263157895,0.7936644195638848,0.7952628968253967,0.024117819369397133,0.7111111111111111,0.8333333333333334,0.7788878977103777,0.8127877237851663,0.5408000000000002,0.541,0.06490932947297776,0.4,0.656,0.45740000000000003,0.6192000000000001
180,0,500,53.05,53,1.9861361590045288,48,56,50.9,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,51.501400000000004,52.262,1.8459672232934368,47.438,53.258,48.367200000000004,53.0612,20,20,0,20,20,20,20,0.5673958875448595,0.5669280822509724,0.01835744111037955,0.522902520316128,0.600107823847035,0.5506035746103138,0.5869906359067181,0.6839002202174012,0.6821811303700049,0.01991887298913989,0.6468342476431047,0.7224718210912693,0.6590196073650652,0.7069962862393213,96.45,96.5,6.9696711392628625,82,107,87.9,105,63.4,64.5,7.372780665179327,49,73,52.900000000000006,72,0.3658885374325716,0.3681715055401379,0.03810158641476899,0.31382213079205706,0.4487460537921768,0.31899834921699133,0.4041270355300584,654.348038078667,635.8403052563706,108.41305401958593,492.7396938824648,914.4657505369383,530.3680735316326,783.0992790062803,0.8979994639863061,0.8831168831168831,0.21376000848932367,0.5789473684210527,1.5454545454545454,0.6819078947368422,1.0984848484848484,1957.1622817524706,2028.5847330739457,319.2090351004485,1385.957443210175,2465.9176391402502,1504.1112494897818,2321.8407298924667,0.654258593471608,0.6545436628511008,0.028137193485891644,0.6075986623872222,0.696400208451195,0.6134804667597046,0.6891288205810298,0.6058429250810111,0.6125872428903549,0.0450896279092154,0.5299766245839438,0.6717484465377014,0.5538586834044953,0.6531792116713347,0.544878378289434,0.5420114898768438,0.016534689793389155,0.5139312789727744,0.5770614789896787,0.5257659246597671,0.5601977215377727,0.6904290024726574,0.6897035642439358,0.01737829230286481,0.6583449051887358,0.7224718210912693,0.6696548683160457,0.7081494614137158,0.8910151255263253,0.891559829059829,0.028220977596289457,0.8045977011494253,0.9368421052631579,0.8666666666666667,0.9195804195804197,0.7974636581613834,0.8062108810784785,0.0284500629993682,0.7346938775510204,0.8356164383561644,0.754245283018868,0.8268115942028985,0.4961000000000001,0.517,0.1125596450074827,0.264,0.736,0.37620000000000003,0.593
