parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90
0,0,500,53.75,54,2.4468024246479643,47,57,50.8,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,48.9289,49.594,2.8700480447106407,39.23,51.83,46.687,51.6368,6.469564673775193,6.736618361717458,0.7548166259291136,4.004634814811433,7.048192959901146,5.501660677564588,6.927891123797019,30.45,29.5,5.335827267779472,23,45,26,35.60000000000001,19.75,19.5,2.0994986870303363,17,24,17,22.1,0.5298092590413195,0.5337997886454966,0.020660689850450976,0.4872893464042224,0.5634019547765672,0.501535764359781,0.5516343030478761,1.1660515873015873,1.1547619047619047,0.3194940204217903,0.75,1.8571428571428572,0.7950000000000002,1.5214285714285718
0.005,0,500,53.1,54,2.359750209795855,49,56,49,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.9,3,0.30779350562554625,2,3,2.9,3,48.29420000000001,48.595,1.7791656116517682,44.744,51.334,45.2034,50.0358,6.713498486534519,6.706934771835613,0.5488990620454961,5.7112576548427585,7.498696153332247,5.8459092470924965,7.41319009251359,29.6,29,4.7506232278124925,24,39,24,37.1,21.55,21.5,2.282081229238369,18,26,19,24.1,0.5434055321427772,0.5371783928602848,0.01763197985389117,0.5162097593309791,0.5781933935782569,0.5269727144374695,0.5691121377847661,1.095261544011544,1.101010101010101,0.2263296828340837,0.7333333333333333,1.6666666666666667,0.8532467532467531,1.3144444444444447
0.01,0,500,53.95,54,2.139232523470435,50,57,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.95,3,0.22360679774997894,2,3,3,3,48.62650000000001,49.361000000000004,2.0160783062277376,43.024,51.136,46.0784,50.391799999999996,6.862333835446354,6.931443154307409,0.5425368586926809,5.664772193124804,7.663230389333201,6.156345216411318,7.602827318712444,30.45,29.5,4.639362478889348,23,38,26,37.1,23.05,22.5,2.0384462607326044,19,26,21,26,0.5434773615521419,0.5398087019360025,0.02291459396858919,0.5051161119906715,0.5773114931938754,0.5158630513562557,0.5731398067227874,1.1539520202020201,1.101010101010101,0.3029191191896094,0.7272727272727273,1.8333333333333333,0.8096969696969698,1.4833333333333338
0.015,0,500,52.8,53,1.8238190122579825,49,56,50.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.9,6,0.3077935056255463,5,6,5.8999999999999995,6,47.7809,48.083,1.8337236748729273,43.862,51.018,44.7622,49.532799999999995,6.601374234844014,6.560312827928442,0.4640077262714281,5.651923212500315,7.415820925561777,6.0889268395204015,7.228055514439266,30.85,29,5.546691759389935,24,43,25,38.2,22.9,22,2.8078836383147703,19,31,20,26.1,0.5537951634268892,0.5558226347407064,0.016222669509894146,0.5217475738163323,0.5786742321635353,0.5304249052582537,0.5743581404971264,1.097069597069597,1.0833333333333333,0.20930754260810416,0.7692307692307693,1.6666666666666667,0.8285714285714285,1.3399999999999999
0.02,0,500,51.95,51.5,2.394621165511528,48,57,49.8,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.65,6,0.48936048492959283,5,6,5,6,47.54469999999999,47.644999999999996,2.0743057963670894,42.486,49.864,45.138,49.6272,6.434894486039799,6.49867755356939,0.4828942932541784,4.878709255530603,7.101329171359406,6.06120441092956,6.989826640392182,29.65,29,4.637093009520875,23,38,24.9,37,22.7,23,1.8381913307436344,19,26,20.8,25,0.5460535189861241,0.5473701482037789,0.01794853433632024,0.5113262228609373,0.5794871274330189,0.5277266849461708,0.5726491233463267,1.0902752802752804,1.0625,0.19580213850391842,0.7857142857142857,1.5555555555555556,0.86875,1.3
0.025,0,500,51.15,51.5,1.8715318802914818,47,54,48.900000000000006,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.7,10,0.4701623459816272,9,10,9,10,47.089400000000005,47.334,1.495806503106883,43.828,49.97,44.370799999999996,48.315000000000005,6.453500595113523,6.375266329045028,0.4513983756580334,5.841439548604431,7.3726573228382275,5.930019141168688,7.194181081100418,30.7,29.5,4.856899595854389,25,41,25,38.1,23,23,2.3169853371636986,20,27,20,27,0.5550555181307747,0.5536182003455571,0.019297771135736677,0.5264107688453614,0.5952923064036956,0.5296657386421014,0.5737721618299138,1.0529931179931178,1,0.1559302147230279,0.8571428571428571,1.3076923076923077,0.8657142857142858,1.2762237762237763
0.030000000000000002,0,500,49.8,49.5,2.092593455122388,46,53,47,52.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.3,12,0.6569466853317862,11,13,11.899999999999999,13,46.541199999999996,46.471000000000004,1.65873425427818,44.222,49.86,44.684400000000004,48.4522,6.315117589236501,6.268249054347201,0.5281178438226947,5.503873545058961,7.550144634376227,5.675050091817601,6.905060309579836,28.35,28,2.978431236671236,24,35,25,33.1,23.15,23,2.6808286228819544,19,28,19.900000000000002,27,0.5596250898296373,0.5565595189123747,0.02426980212565946,0.5222823247227483,0.5960646833244312,0.5292367476259512,0.5921163761967336,1.0119561557293757,1,0.14711983858173647,0.7777777777777778,1.3076923076923077,0.8125,1.2014285714285715
