parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,atp_variance_mean,atp_variance_median,atp_variance_stddev,atp_variance_min,atp_variance_max,atp_variance_p10,atp_variance_p90,wealth_concentration_index_mean,wealth_concentration_index_median,wealth_concentration_index_stddev,wealth_concentration_index_min,wealth_concentration_index_max,wealth_concentration_index_p10,wealth_concentration_index_p90,median_mean_atp_divergence_mean,median_mean_atp_divergence_median,median_mean_atp_divergence_stddev,median_mean_atp_divergence_min,median_mean_atp_divergence_max,median_mean_atp_divergence_p10,median_mean_atp_divergence_p90,mean_gini_coefficient_mean,mean_gini_coefficient_median,mean_gini_coefficient_stddev,mean_gini_coefficient_min,mean_gini_coefficient_max,mean_gini_coefficient_p10,mean_gini_coefficient_p90,max_gini_coefficient_mean,max_gini_coefficient_median,max_gini_coefficient_stddev,max_gini_coefficient_min,max_gini_coefficient_max,max_gini_coefficient_p10,max_gini_coefficient_p90,reproductive_inequality_index_mean,reproductive_inequality_index_median,reproductive_inequality_index_stddev,reproductive_inequality_index_min,reproductive_inequality_index_max,reproductive_inequality_index_p10,reproductive_inequality_index_p90,survival_inequality_index_mean,survival_inequality_index_median,survival_inequality_index_stddev,survival_inequality_index_min,survival_inequality_index_max,survival_inequality_index_p10,survival_inequality_index_p90,top_decile_persistence_mean,top_decile_persistence_median,top_decile_persistence_stddev,top_decile_persistence_min,top_decile_persistence_max,top_decile_persistence_p10,top_decile_persistence_p90
30,0,500,18.55,18,2.762054917705485,12,23,15.9,21.200000000000003,0,0,0,0,0,0,0,500,500,0,500,500,500,500,21.688100000000002,22.414,2.17681384500133,14.984,24.094,18.8792,23.6478,12.2,13,2.483630619200766,6,15,9.8,15,0.5168656543195241,0.5210990299460383,0.030452447979975174,0.46708452026543046,0.5658538301583487,0.47796873451182115,0.5490722088151614,0.5489372783201147,0.570494525610086,0.09530836186485775,0.4127205813428188,0.7469656610013128,0.44738982166644514,0.6636169407565178,147.6,155,23.86673527384043,71,172,121.89999999999999,169,149.05,155.5,21.984384410183896,79,172,125.60000000000001,168.3,0.0038395762221684693,0.003899108489637354,0.0007963643056191138,0.0018429071568534096,0.005179636972660876,0.003054586536373847,0.004632107590637321,1.4855501656951489,1.4689554061646628,0.728669670398775,0.7561958488936711,3.1269929707427373,0.7561958488936711,2.460185021954986,1.032161940826486,1.0286650286650287,0.05825306979584498,0.9,1.1290322580645162,0.9916666666666667,1.0902225755166932,130.98999816231714,34.98933234110379,309.01539436769616,12.309012738419787,1390.0790770040294,16.161528860246964,245.29953521835702,0.4226022557500363,0.40044827812531814,0.13889541977897416,0.2691132483407822,0.8458389546259645,0.2810028058472607,0.5931869540019389,0.24240173739583976,0.27035333064312317,0.26779997530939426,-0.1669103636055019,0.839680153436292,-0.07024310377471323,0.5025294045453887,0.6128886505348975,0.6022356846734123,0.03988743517728858,0.5707853434239065,0.7094016922861051,0.5732012932743261,0.6520492724568567,0.8319125859719879,0.834506450043255,0.0302902297157606,0.7685993138492977,0.8811207160917298,0.7950003681253874,0.8741513305476917,0.9519413112832773,0.9606160710455189,0.04053826568195175,0.7887323943661971,0.9795918367346939,0.9409836065573771,0.9756819165824794,0.9360734197239763,0.9362026862026862,0.008699189847615016,0.9180327868852459,0.9620253164556962,0.9291264291264292,0.9415544675642594,0.5184000000000001,0.476,0.17181091197500875,0.274,0.836,0.3272,0.7142000000000001
60,0,500,19.35,19,2.1343062474478063,16,23,16,22.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,23.6405,24.012999999999998,1.4926920752717046,20.2,25.56,21.406399999999998,25.2082,12.75,12.5,1.8027756377319946,9,16,10.9,15,0.5249173033441441,0.5203208288631863,0.03411671048408345,0.45525120676816405,0.5904400513775264,0.4829099607034005,0.5615788941086134,0.5780826250262907,0.6123608970216683,0.11457553657237204,0.32837655803961713,0.7575728353710945,0.44051352390821236,0.7181333874519564,171.55,175,16.047544491620094,138,191,145.29999999999998,188.2,172.2,176.5,15.723264693808948,137,192,143,186.10000000000002,0.004263645289284101,0.004388304166111339,0.000865604920153046,0.002463967180419862,0.006246279469010907,0.003475197203689779,0.004935594270882089,1.4901767324692072,0.9645342988892683,1.2183663438200538,0.7561958488936711,5.101759124100169,0.7561958488936711,3.2722788383074524,1.0465901495648409,1.0533428165007113,0.0702941128262846,0.8857142857142857,1.206896551724138,0.99,1.1121951219512196,82.4583349240527,33.42266489163137,168.09509530886166,7.875530173477125,712.7746872867482,11.89633037821926,90.26159815048794,0.41975015391120757,0.40030607720457034,0.12632293633233616,0.2157160956947549,0.7424464924135376,0.26428225117177206,0.5502585141307934,0.30607735957082133,0.3103084237519682,0.2558046710062362,-0.17369677293145327,0.8444770379750399,-0.027685495394140162,0.6009228052678773,0.5861280923336367,0.5768006045252062,0.0313726529652148,0.5501673778964591,0.6747616769413285,0.5559746333728945,0.6222364874614932,0.8319525755179293,0.8335865818781175,0.02412031585986125,0.7905544168634558,0.8789669440543872,0.8066762186951973,0.8635752557961273,0.9555213056813787,0.9562956142145829,0.008031024314894816,0.9420289855072463,0.9657142857142857,0.9457416103045708,0.9640413080895008,0.9417779512915668,0.9433423215202876,0.005209450427227025,0.9300699300699301,0.9479166666666666,0.9338829054157521,0.9462653096429188,0.3982,0.349,0.13987949701157254,0.248,0.782,0.2808,0.5721999999999999
90,0,500,17.9,19,3.6113855046447054,6,23,15.700000000000001,21,0,0,0,0,0,0,0,500,500,0,500,500,500,500,22.0084,22.817999999999998,2.8798778190457277,14.64,25.388,18.7228,24.913800000000002,11.45,12,2.5438263760679396,5,15,8.8,14.100000000000001,0.5045722532573448,0.5004074267651345,0.042848522487492186,0.38458995790640865,0.5757895495326683,0.4742101878859604,0.5530522408732723,0.5306116613102668,0.5502899590476882,0.12934666950373044,0.3232849122535652,0.7347691689409371,0.3339174798811108,0.6654653091683268,155.05,164,33.02865581980529,67,195,116.60000000000001,183.7,157.15,166.5,31.07084434676748,81,195,120.60000000000001,185.8,0.003956526521595356,0.004199127932887927,0.0009082218654857155,0.001300502673946731,0.005261066113168543,0.002917722743057305,0.004747814520845799,1.2729271144431988,0.8764869912554325,0.7556906724298558,0.7561958488936711,3.154773139239496,0.7561958488936711,2.255856895314497,1.0053845691338723,1,0.08047130883123586,0.813953488372093,1.1666666666666667,0.9295169946332738,1.0972782258064517,208.82626067706155,32.19255301646339,557.8421427182035,7.222370299642159,2452.0631784958837,14.16890796062039,411.396607628816,0.40338697415999925,0.40416005797240073,0.14552107597153033,0.20700003335400283,0.7340760946191871,0.25060658771084066,0.5781410338570078,0.25018792937165213,0.2606816452514608,0.2346233510282929,-0.2354274505466995,0.700896055000296,-0.0363494208111156,0.5225888978837708,0.604431430151793,0.6118624595071478,0.03681526377031256,0.5419097002754371,0.690324359969212,0.5597125696613028,0.6405349775550236,0.8383281425400128,0.8316388858406065,0.023572391284463326,0.8005092959016374,0.8929803193261371,0.8140666787937416,0.87363825180123,0.9216230755982773,0.9586538461538462,0.13858444490066021,0.34328358208955223,0.9751552795031055,0.917593984962406,0.9674615002483855,0.9402742551352408,0.9410024364775496,0.016970463990321996,0.9186991869918699,1,0.9242500189868611,0.9482396705194632,0.46240000000000003,0.477,0.14931083790465272,0.212,0.794,0.2732,0.6200000000000001
120,0,500,19.05,19,2.0384462607326044,15,23,16,21.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,23.405800000000003,24.528,2.061286353610033,19.678,25.542,20.068399999999997,25.2512,12.95,13,1.761428845837199,9,15,10,15,0.5270804133844919,0.530574900722276,0.032295447557924475,0.45290831512950547,0.6010079919805877,0.48926284222568933,0.5551140567849598,0.5394156008666595,0.5131151108073126,0.11118228837904162,0.3695881259976787,0.7278855548376529,0.41038794355609914,0.674680672127737,169.3,182.5,22.59506233904353,127,195,133.6,189.20000000000002,170.25,183,21.506119080269617,128,194,137.5,191,0.004153461897078986,0.004420736055610692,0.000655162218031038,0.002754492933043084,0.005109110702891096,0.003601067575492624,0.004807185430474292,1.262866820352284,0.8346643627506434,0.8654979929879597,0.7561958488936711,4.277875714746942,0.7561958488936711,2.173403830783404,1.014537599033193,1,0.04431563704668943,0.9333333333333333,1.1142857142857143,0.9731907894736842,1.0597597597597597,58.38331440991898,30.050768601291086,82.12301963327955,7.691542323347027,335.5538791139797,11.367815275366109,128.13194327839958,0.3768540227498813,0.33488051639829414,0.12722949736393072,0.20716313597987782,0.6259991057941909,0.24436526814555226,0.544571340104585,0.23313337428858,0.2971546651627943,0.2852944872089471,-0.24174040948453962,0.8851677390425293,-0.15413486530015327,0.47691833569606235,0.5930191169955985,0.5719565005798515,0.04313960763940156,0.5450392900629153,0.6732680897983262,0.5499240405575482,0.658270678167292,0.8244330588293322,0.8170285443984895,0.027666798684294266,0.7855113618542825,0.8779029491688801,0.7926857710906698,0.8639758365714605,0.9541831250974825,0.9567554932211314,0.01193867193862774,0.9307692307692308,0.9738219895287958,0.9382705479452055,0.9669742564946514,0.9402566918674822,0.9453551912568307,0.008422632323641346,0.921875,0.9484536082474226,0.9272638117031711,0.9476439790575916,0.42219999999999996,0.319,0.21110027549908475,0.198,0.826,0.24259999999999998,0.7806000000000001
150,0,500,20.05,21,2.211810403980842,15,23,17,22,0,0,0,0,0,0,0,500,500,0,500,500,500,500,24.1376,24.728,1.366692912028695,20.54,25.37,22.089000000000002,25.2834,13.4,13.5,1.7591864148251213,9,16,10.9,15,0.5266043621820564,0.5285126115809888,0.026334049426623898,0.47029751616186405,0.5675559039364324,0.5019643512823914,0.5611224196256221,0.5152424218599815,0.5060862656868022,0.0766069672833401,0.3777962840862618,0.6950844343373348,0.43309878489111037,0.6212164453748582,177.25,182,16.1599732933599,139,198,152.5,192.1,177.2,181,15.01087325206211,140,196,153.9,189.70000000000002,0.004378890216577612,0.004330369543945438,0.000515398822362282,0.0034756498492809315,0.005527198881854627,0.0038374861056988826,0.005104580107025423,1.484305460534049,1.1421062246459794,0.8441060954285697,0.7561958488936711,3.220685280595613,0.7561958488936711,3.220685280595613,1.0294777684842842,1.0256578947368422,0.04090735094181738,0.9767441860465116,1.135135135135135,0.9776744186046511,1.0622393822393823,26.820158103981203,18.477083326024164,18.57061650596531,8.281774705397671,63.04801449480736,9.97244535491124,55.2119322526618,0.3689377662368927,0.35200576977982745,0.09754383015984723,0.24125006995618115,0.5871420141224882,0.25322424872496346,0.5089540455358106,0.2466226658937841,0.18711299275840076,0.2121393465183256,-0.10612152704752205,0.8154332576709881,0.027386389815625325,0.46146780557504846,0.5720878665953226,0.5668631139002425,0.022479229893916514,0.5494582028913938,0.6209271971224198,0.5515268224241706,0.6124306160502813,0.8197168388778175,0.8162643494704592,0.016610611331392,0.7939895151164045,0.8544419774030021,0.803817382468311,0.8476912591501339,0.9651358034963172,0.9665735567970205,0.00893732410390246,0.9459459459459459,0.9837837837837838,0.9565759157379979,0.9740372474747475,0.9431370301457107,0.9447513812154696,0.005360157537903636,0.9285714285714286,0.9489795918367347,0.9350224938460232,0.9472789115646258,0.3149,0.272,0.10222879396622789,0.204,0.534,0.2258,0.49860000000000004
180,0,500,18.85,19,2.323223713087621,12,23,16.9,21.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,23.3504,23.731,1.8026873039408342,18.728,25.248,21.284000000000002,25.151400000000002,12.3,13,2.341839133312916,7,16,9,15,0.511305882382595,0.5029102429579593,0.028093166127316133,0.4692581896691831,0.5979983214924867,0.4924837239426476,0.5373233553190646,0.534251171058035,0.5298902199107114,0.09378334724956446,0.3851091037486191,0.7551763642509481,0.4348459025138692,0.6233347942447469,170.1,170.5,18.85931293050005,124,193,149.60000000000002,191,171.25,173.5,18.26954612981597,126,195,151.79999999999998,192,0.004442001837571067,0.004607254544415622,0.0006026009226307876,0.0034018453352807915,0.006036692287376468,0.0036400926144209635,0.0048786805201861275,1.2241575137707572,0.7561958488936711,0.8170936930486136,0.7561958488936711,3.9739536874442964,0.7561958488936711,2.163111245597798,1.0153301292462682,1,0.08168679664309625,0.9,1.3181818181818181,0.9506912442396313,1.050128205128205,47.70651358916141,22.432596150505344,96.1490278173018,8.016456876681023,451.69018807467336,11.348987779387057,46.70782625654682,0.3690568476074054,0.35847856507344095,0.11996648444088026,0.20117841756786187,0.7125196652044613,0.25559314934073324,0.47098589372634664,0.2137797562727844,0.28098575040619667,0.23766689547112954,-0.4093531420899265,0.5321232906455564,-0.13826555019675826,0.42929388666833285,0.5887367334347463,0.5773119910420696,0.03567928581969448,0.5502868142444747,0.6823391075800282,0.556063998897973,0.6306113647545762,0.829484247683664,0.8361982934148086,0.027264053444029865,0.7782005422983137,0.8842166123614321,0.7977137182172429,0.8563894566036806,0.9572202490860271,0.9610171329429624,0.013515146262685396,0.9274193548387096,0.9790575916230366,0.9398612112472963,0.968837897853442,0.9412372753507426,0.942358803986711,0.006775845019347769,0.9206349206349206,0.9487179487179487,0.9341228070175438,0.9479166666666666,0.40009999999999996,0.331,0.18003680910185824,0.202,0.826,0.22960000000000003,0.6132000000000002
