parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90
0,0,500,53.6,54,2.370875920747213,48,58,51,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,48.4491,49.012,2.223853504735938,43.06,51.714,45.17880000000001,50.43900000000001,6.70107536941218,6.710680361538982,0.48487642859570274,5.484133842276239,7.4679271555097655,6.115083888450686,7.254712097805571,25.45,24,3.3791154245795716,22,32,22,31.1,19.05,19,2.0641042405337653,17,25,17,21,0,0,0,0,0,0,0,0.5310176542572531,0.5286062077274475,0.01712990223961763,0.4932011908042053,0.5684466492664234,0.5117854311192099,0.5500859134738518,1.2891523754023755,1.0454545454545454,0.5346402780261064,0.6666666666666666,2.3333333333333335,0.7623076923076924,2.213333333333334,0.5421779800051112,0.5406063187192276,0.027408620079659916,0.49732649535379,0.6129371496154933,0.5105283396880869,0.5703869712394037,71.7,71.5,8.47969711474972,58,88,59.9,80.1,38.1,37,7.89336830243558,26,54,27.9,46.300000000000004
0.005,0,500,53.9,54,1.5861240410775603,51,56,52,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.9,3,0.3077935056255462,2,3,2.9,3,49.16510000000001,49.607,1.5391149165399545,44.912,50.868,47.3312,50.6072,6.7435524843735495,6.776365207980535,0.427121196284089,6.030377765944687,7.6235645206163145,6.220152619578089,7.264833284508278,26,24.5,3.797506106852094,22,34,23,34,19.45,19,1.3562719801759995,17,22,17.900000000000002,21,0,0,0,0,0,0,0,0.539444835869948,0.5363040362381002,0.017210870254128707,0.5057622992284488,0.5662786111043403,0.5190585432145457,0.559749741331681,1.1030894105894105,0.9615384615384616,0.3828014869514273,0.6153846153846154,2.142857142857143,0.7785714285714285,1.5250000000000004,0.5369685974519789,0.5349345568413029,0.0348993871700108,0.45846219025217716,0.5952403084033648,0.5060885483647243,0.5786557937217849,77.35,76,6.028659622346021,69,91,70.9,83.7,43.45,42,5.744333592424159,34,56,38.6,50.400000000000006
0.01,0,500,53.85,54,2.3680993933621335,49,57,50,57,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.85,3,0.36634754853252327,2,3,2,3,48.85510000000001,49.174,1.56873847741627,45.832,51.22,46.83200000000001,50.4516,6.771261631678354,6.8313031281171614,0.6660381807931177,5.368221679476375,7.891294190435427,5.665339332231143,7.444421746295195,28.7,26.5,5.956862473342472,22,43,22.9,35.70000000000001,21,21.5,2.1521103473958814,17,24,18,24,0,0,0,0,0,0,0,0.5493244837801329,0.5472130548894263,0.02265764639510348,0.5058790550334649,0.5942935446259668,0.5306567389012291,0.5753148814851687,1.18556727994228,1.087121212121212,0.33994471248688113,0.6818181818181818,1.8333333333333333,0.8912500000000001,1.7228571428571429,0.547487964406661,0.5519657995969822,0.042426343416524605,0.47795804258083546,0.621326189511348,0.4829861826177815,0.6022918908586983,79.4,79,6.410517673488255,67,90,73.4,89,45.55,45,5.871205381485044,34,57,40.7,54
0.015,0,500,52.65,53,2.9784312366712364,47,56,48.800000000000004,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.95,6,0.22360679774997894,5,6,6,6,47.952999999999996,48.641,2.595686259526513,43.796,52.02,44.4652,51.1124,6.81242454112561,6.723209236038174,0.4966785166636575,5.75642250012977,7.720659039227157,6.227112533040495,7.4560969746477435,28.55,26.5,5.871205381485044,22,41,22,35.300000000000004,20.05,20,1.7910596686995393,17,24,17.900000000000002,22,0,0,0,0,0,0,0,0.5461458928763487,0.5492282403384363,0.0182172773749686,0.5018092055294329,0.5725845268844849,0.5229909528217456,0.5636056387231589,1.0387803169053167,1.0333333333333332,0.20379810104749582,0.5625,1.5,0.8464285714285713,1.2300000000000002,0.5600720433434929,0.559450768193166,0.037162886276182146,0.49235212694640307,0.6296225372248794,0.5112594691026252,0.6095464040300822,77.45,79,8.00312438988674,58,89,65.7,86,44.8,45,6.3709868689403635,31,57,34.9,51.2
0.02,0,500,52.15,51.5,2.0072237962970276,48,56,50.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.8,6,0.4103913408340616,5,6,5,6,47.6169,47.974000000000004,2.2438736689272996,42.054,51.416,45.0334,49.8494,6.78419092928735,6.669079488286913,0.3569862668378017,6.271554831140358,7.497247228149812,6.378840436386905,7.231874955564145,26.4,25,3.299122690400554,22,32,23.9,32,20.2,20,1.6091841672756186,18,23,18,22,0,0,0,0,0,0,0,0.5461011629359143,0.5481750708842608,0.01839110423400818,0.5140444973919823,0.5762416706278006,0.5208823582433927,0.5678265257618582,1.0771826784326783,1.0384615384615383,0.25769227709485576,0.6923076923076923,1.6,0.7749999999999999,1.4690909090909094,0.5398750584401156,0.5303373296227718,0.037526630684460834,0.4875771389898878,0.6050354201214674,0.500628604708647,0.595558484198129,80.45,80,7.229144231220558,65,94,72.89999999999999,89.4,48.3,48.5,7.123718721359836,34,63,41.8,58.1
0.025,0,500,52.1,52,2.1980852911951403,48,56,49,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.75,10,0.4442616583193193,9,10,9,10,47.043899999999994,46.965,1.006130361962682,45.466,48.526,45.6204,48.45399999999999,6.596094700765574,6.577821807765578,0.4078494285269835,6.007002247377646,7.4654969024171445,6.122756458119861,7.060448758642636,25.25,24,3.8780760286784637,22,34,22,33,19.6,20,1.4290224851827544,17,22,18,22,0,0,0,0,0,0,0,0.5623095698608469,0.5635242455666214,0.016737741609740342,0.5240088466602053,0.5909090739585571,0.5420547815408543,0.5813234868893314,1.1170408064158062,1.0787878787878786,0.21791162335683872,0.8125,1.5555555555555556,0.8526785714285714,1.3772727272727274,0.5607572515369884,0.5577564132255002,0.03497680596923878,0.48859240265808734,0.6403109926235085,0.530753411745421,0.5982481781449918,83.4,84,2.9982451007565283,76,87,79.9,86.1,51.3,51.5,2.773938867766423,45,57,47.9,54
0.030000000000000002,0,500,50.85,51,2.183068820189645,47,54,47,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.3,13,1.1285761872936693,10,13,10,13,46.3833,47.114999999999995,2.075348774746574,41.406,49.188,43.571000000000005,48.079,6.550933961469338,6.632531658570276,0.45736825249133106,5.6283695685340875,7.200827452452931,5.878134096947795,7.009541318791874,26.75,24,4.733697786809177,22,37,22.9,33,19.75,20,1.5852942612451615,18,24,18,22,0,0,0,0,0,0,0,0.5684082905639732,0.5680325738971727,0.014974570932532608,0.5390407045416701,0.5903761393763455,0.542830532169653,0.5836194714530543,1.0915967855673738,1.03125,0.2283753603958379,0.6666666666666666,1.7,0.8846153846153846,1.3657342657342657,0.5497250859942966,0.550239327366864,0.040842974319115405,0.43341388281603965,0.6179131640427253,0.511241784609261,0.5978118388197525,84.25,84.5,6.111895218170444,71,92,76.8,91.1,53.4,52.5,6.133600299300481,44,65,45.9,60.1
